antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_29__(1414.8, 1450.8]']",leak_label__class_1,0.222,1.0,0.72,0.222
"['flow_Link_29__(1450.8, 1483.2]']",leak_label__class_1,0.176,1.0,0.68,0.176
"['flow_Link_29__(262.8, 1414.8]']",leak_label__class_0,0.159,0.84,0.411,0.189
"['flow_Link_15__(50.4, 79.2]']",leak_label__class_1,0.199,1.0,0.699,0.199
"['flow_Link_14__(28.8, 43.2]']",leak_label__class_0,0.215,1.0,0.56,0.215
"['flow_Link_28__(244.8, 298.8]']",leak_label__class_1,0.205,1.0,0.705,0.205
"['flow_Link_28__(68.4, 93.6]']",leak_label__class_0,0.218,1.0,0.563,0.218
"['flow_Link_23__(2322.0, 3020.4]']",leak_label__class_1,0.201,1.0,0.701,0.201
"['flow_Link_22__(151.2, 244.8]']",leak_label__class_0,0.067,0.336,-0.454,0.198
"['flow_Link_34__(342.0, 640.8]']",leak_label__class_0,0.167,0.866,0.437,0.193
"['flow_Link_34__(640.8, 838.8]']",leak_label__class_1,0.201,1.0,0.701,0.201
"['flow_Link_31__(-471.601, -435.6]']",leak_label__class_1,0.214,1.0,0.713,0.214
"['flow_Link_30__(-442.801, -324.0]']",leak_label__class_1,0.208,1.0,0.707,0.208
"['flow_Link_30__(172.8, 262.8]']",leak_label__class_0,0.191,0.964,0.522,0.198
"['flow_Link_26__(-100.8, 104.4]']",leak_label__class_1,0.196,0.999,0.697,0.197
"['flow_Link_32__(-522.0, -54.0]']",leak_label__class_0,0.184,0.932,0.497,0.197
"['flow_Link_32__(-579.601, -547.2]']",leak_label__class_1,0.244,1.0,0.741,0.244
"['flow_Link_27__(-14.4, -3.6]']",leak_label__class_0,0.199,1.0,0.549,0.199
"['flow_Link_27__(-3.6, 172.8]']",leak_label__class_0,0.134,0.806,0.366,0.167
"['flow_Link_27__(194.4, 223.2]']",leak_label__class_1,0.198,1.0,0.698,0.198
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_29__(1414.8, 1450.8]']",leak_label__class_1,0.0,0.0,0.0,0.0
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_29__(1450.8, 1483.2]']",leak_label__class_1,0.05,1.0,0.59,0.05
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_29__(262.8, 1414.8]']",leak_label__class_0,0.005,1.0,0.442,0.005
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_29__(1414.8, 1450.8]']",leak_label__class_1,0.0,0.0,0.0,0.0
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_29__(1450.8, 1483.2]']",leak_label__class_1,0.044,1.0,0.586,0.044
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_29__(262.8, 1414.8]']",leak_label__class_0,0.098,1.0,0.487,0.098
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_29__(1414.8, 1450.8]']",leak_label__class_1,0.065,1.0,0.599,0.065
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_29__(1450.8, 1483.2]']",leak_label__class_1,0.082,1.0,0.61,0.082
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_29__(262.8, 1414.8]']",leak_label__class_0,0.056,1.0,0.466,0.056
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_15__(50.4, 79.2]']",leak_label__class_1,0.05,1.0,0.59,0.05
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_15__(50.4, 79.2]']",leak_label__class_1,0.044,1.0,0.586,0.044
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_15__(50.4, 79.2]']",leak_label__class_1,0.088,1.0,0.614,0.088
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_7__(1609.2, 3762.0]']",leak_label__class_1,0.007,0.162,-0.643,0.045
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_6__(2098.8, 4276.8]']",leak_label__class_1,0.007,0.155,-0.659,0.047
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_14__(28.8, 43.2]']",leak_label__class_0,0.09,1.0,0.483,0.09
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_14__(28.8, 43.2]']",leak_label__class_0,0.07,1.0,0.473,0.07
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_14__(28.8, 43.2]']",leak_label__class_0,0.017,1.0,0.447,0.017
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_28__(244.8, 298.8]']",leak_label__class_1,0.02,1.0,0.572,0.02
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_28__(68.4, 93.6]']",leak_label__class_0,0.129,1.0,0.505,0.129
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_28__(244.8, 298.8]']",leak_label__class_1,0.044,1.0,0.586,0.044
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_28__(68.4, 93.6]']",leak_label__class_0,0.057,1.0,0.466,0.057
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_28__(244.8, 298.8]']",leak_label__class_1,0.122,1.0,0.638,0.122
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_28__(68.4, 93.6]']",leak_label__class_0,0.003,1.0,0.441,0.003
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_23__(2322.0, 3020.4]']",leak_label__class_1,0.044,1.0,0.586,0.044
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_23__(2322.0, 3020.4]']",leak_label__class_1,0.127,1.0,0.642,0.127
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_22__(151.2, 244.8]']",leak_label__class_0,0.0,1.0,0.44,0.0
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_22__(151.2, 244.8]']",leak_label__class_0,0.022,1.0,0.45,0.022
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_34__(342.0, 640.8]']",leak_label__class_0,0.012,0.323,-0.432,0.036
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_34__(640.8, 838.8]']",leak_label__class_1,0.025,1.0,0.575,0.025
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_34__(640.8, 838.8]']",leak_label__class_1,0.044,1.0,0.586,0.044
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_34__(640.8, 838.8]']",leak_label__class_1,0.122,1.0,0.638,0.122
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_31__(-471.601, -435.6]']",leak_label__class_1,0.05,1.0,0.59,0.05
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_31__(-471.601, -435.6]']",leak_label__class_1,0.044,1.0,0.586,0.044
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_31__(-435.6, -403.2]']",leak_label__class_1,0.03,1.0,0.577,0.03
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_31__(-471.601, -435.6]']",leak_label__class_1,0.117,1.0,0.634,0.117
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_30__(-442.801, -324.0]']",leak_label__class_1,0.05,1.0,0.59,0.05
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_30__(172.8, 262.8]']",leak_label__class_0,0.016,1.0,0.447,0.016
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_30__(-442.801, -324.0]']",leak_label__class_1,0.044,1.0,0.586,0.044
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_30__(172.8, 262.8]']",leak_label__class_0,0.119,1.0,0.499,0.119
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_30__(-324.0, -248.4]']",leak_label__class_1,0.035,1.0,0.581,0.035
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_30__(-442.801, -324.0]']",leak_label__class_1,0.112,1.0,0.631,0.112
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_26__(-100.8, 104.4]']",leak_label__class_1,0.05,1.0,0.59,0.05
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_26__(-100.8, 104.4]']",leak_label__class_1,0.044,1.0,0.586,0.044
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_26__(-100.8, 104.4]']",leak_label__class_1,0.101,1.0,0.623,0.101
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_32__(-522.0, -54.0]']",leak_label__class_0,0.037,0.751,0.267,0.049
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_32__(-579.601, -547.2]']",leak_label__class_1,0.0,0.0,0.0,0.0
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_32__(-522.0, -54.0]']",leak_label__class_0,0.094,0.996,0.483,0.095
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_32__(-579.601, -547.2]']",leak_label__class_1,0.0,1.0,0.56,0.0
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_32__(-522.0, -54.0]']",leak_label__class_0,0.052,1.0,0.464,0.052
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_32__(-579.601, -547.2]']",leak_label__class_1,0.076,1.0,0.606,0.076
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_9__(1227.6, 3358.8]']",leak_label__class_1,0.002,0.553,0.205,0.004
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_9__(1227.6, 3358.8]']",leak_label__class_1,0.008,0.186,-0.588,0.041
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_33__(536.4, 583.2]']",leak_label__class_1,0.042,1.0,0.585,0.042
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_33__(536.4, 583.2]']",leak_label__class_1,0.12,1.0,0.637,0.12
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_27__(-14.4, -3.6]']",leak_label__class_0,0.064,1.0,0.47,0.064
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_27__(-3.6, 172.8]']",leak_label__class_0,0.016,1.0,0.447,0.016
"['flow_Link_16__(198.0, 234.0]', 'flow_Link_27__(194.4, 223.2]']",leak_label__class_1,0.05,1.0,0.59,0.05
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_27__(-14.4, -3.6]']",leak_label__class_0,0.044,1.0,0.46,0.044
"['flow_Link_16__(234.0, 270.0]', 'flow_Link_27__(194.4, 223.2]']",leak_label__class_1,0.043,1.0,0.585,0.043
"['flow_Link_16__(270.0, 352.8]', 'flow_Link_27__(194.4, 223.2]']",leak_label__class_1,0.076,1.0,0.607,0.076
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_5__(2469.6, 4701.6]']",leak_label__class_1,0.149,0.767,0.53,0.195
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_29__(1450.8, 1483.2]']",leak_label__class_1,0.038,1.0,0.582,0.038
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_29__(262.8, 1414.8]']",leak_label__class_0,0.013,1.0,0.445,0.013
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_29__(1414.8, 1450.8]']",leak_label__class_1,0.09,1.0,0.616,0.09
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_29__(1450.8, 1483.2]']",leak_label__class_1,0.001,1.0,0.561,0.001
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_29__(262.8, 1414.8]']",leak_label__class_0,0.098,1.0,0.488,0.098
