antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_16__(295.2, 486.0]']",leak_label__class_1,0.316,0.953,0.805,0.331
"['flow_Link_16__(79.199, 223.2]']",leak_label__class_0,0.31,0.913,0.585,0.339
"['flow_Link_29__(1432.8, 1483.2]']",leak_label__class_1,0.317,1.0,0.821,0.317
"['flow_Link_15__(-43.2, 39.6]']",leak_label__class_0,0.227,0.666,0.241,0.342
"['flow_Link_15__(39.6, 79.2]']",leak_label__class_1,0.31,1.0,0.812,0.31
"['flow_Link_14__(126.0, 187.2]']",leak_label__class_1,0.314,1.0,0.817,0.314
"['flow_Link_12__(291.6, 496.8]']",leak_label__class_0,0.135,0.421,-0.327,0.321
"['flow_Link_20__(795.599, 2268.0]']",leak_label__class_0,0.325,0.976,0.639,0.333
"['flow_Link_21__(464.4, 770.4]']",leak_label__class_0,0.141,0.426,-0.319,0.33
"['flow_Link_31__(-471.601, -417.6]']",leak_label__class_1,0.354,1.0,0.867,0.354
"['flow_Link_31__(54.0, 97.2]']",leak_label__class_0,0.299,0.961,0.606,0.311
"['flow_Link_30__(-442.801, -284.4]']",leak_label__class_1,0.34,1.0,0.849,0.34
"['flow_Link_30__(151.2, 262.8]']",leak_label__class_0,0.316,0.969,0.626,0.327
"['flow_Link_26__(-140.4, 104.4]']",leak_label__class_1,0.279,0.837,0.712,0.333
"['flow_Link_32__(-532.8, -46.8]']",leak_label__class_0,0.29,0.793,0.463,0.366
"['flow_Link_32__(-579.601, -532.8]']",leak_label__class_1,0.349,1.0,0.86,0.349
"['flow_Link_33__(554.4, 633.6]']",leak_label__class_1,0.327,1.0,0.833,0.327
"['flow_Link_27__(183.6, 223.2]']",leak_label__class_1,0.324,1.0,0.829,0.324
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_4__(1980.0, 2512.8]']",leak_label__class_1,0.097,1.0,0.621,0.097
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_4__(2512.8, 4982.4]']",leak_label__class_1,0.216,0.932,0.687,0.231
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_4__(831.599, 1980.0]']",leak_label__class_1,0.003,1.0,0.562,0.003
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_4__(1980.0, 2512.8]']",leak_label__class_0,0.097,1.0,0.487,0.097
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_4__(831.599, 1980.0]']",leak_label__class_0,0.213,0.879,0.478,0.243
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_5__(1789.2, 2271.6]']",leak_label__class_1,0.096,1.0,0.62,0.096
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_5__(2271.6, 4701.6]']",leak_label__class_1,0.218,0.933,0.689,0.233
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_5__(1789.2, 2271.6]']",leak_label__class_0,0.096,1.0,0.486,0.096
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_5__(752.399, 1789.2]']",leak_label__class_0,0.214,0.879,0.479,0.243
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_17__(-421.2, -154.8]']",leak_label__class_1,0.0,0.0,0.0,0.0
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_17__(-547.2, -421.2]']",leak_label__class_1,0.044,1.0,0.586,0.044
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_17__(-889.201, -547.2]']",leak_label__class_1,0.272,0.945,0.751,0.288
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_17__(-421.2, -154.8]']",leak_label__class_0,0.235,0.889,0.503,0.265
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_17__(-547.2, -421.2]']",leak_label__class_0,0.074,1.0,0.475,0.074
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_17__(-889.201, -547.2]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_29__(1432.8, 1483.2]']",leak_label__class_1,0.091,1.0,0.616,0.091
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_29__(244.8, 1432.8]']",leak_label__class_0,0.205,1.0,0.553,0.205
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_29__(1432.8, 1483.2]']",leak_label__class_1,0.197,1.0,0.698,0.197
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_29__(244.8, 1432.8]']",leak_label__class_0,0.01,1.0,0.444,0.01
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_29__(79.199, 244.8]']",leak_label__class_0,0.3,1.0,0.628,0.3
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_15__(-43.2, 39.6]']",leak_label__class_0,0.02,1.0,0.449,0.02
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_15__(39.6, 79.2]']",leak_label__class_1,0.091,1.0,0.616,0.091
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_15__(-388.801, -43.2]']",leak_label__class_1,0.012,0.427,-0.03,0.027
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_15__(39.6, 79.2]']",leak_label__class_1,0.19,1.0,0.691,0.19
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_15__(-388.801, -43.2]']",leak_label__class_0,0.102,1.0,0.49,0.102
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_15__(-43.2, 39.6]']",leak_label__class_0,0.208,1.0,0.555,0.208
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_7__(1152.0, 1476.0]']",leak_label__class_1,0.09,1.0,0.615,0.09
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_7__(1476.0, 3762.0]']",leak_label__class_1,0.225,0.935,0.697,0.241
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_7__(1152.0, 1476.0]']",leak_label__class_0,0.092,1.0,0.484,0.092
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_7__(453.59900000000005, 1152.0]']",leak_label__class_0,0.218,0.881,0.484,0.247
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_6__(1512.0, 1929.6]']",leak_label__class_1,0.094,1.0,0.618,0.094
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_6__(1929.6, 4276.8]']",leak_label__class_1,0.22,0.933,0.692,0.235
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_6__(1512.0, 1929.6]']",leak_label__class_0,0.095,1.0,0.486,0.095
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_6__(608.399, 1512.0]']",leak_label__class_0,0.215,0.879,0.48,0.244
