antecedent,consequent,support,confidence
"demand_Node_1=(-11545.201000000001, -7257.6]",class=1,2.047867505629574e-05,0.6527665098166477
"demand_Node_7=(450.0, 720.0]",class=1,1.3794981208690394e-05,0.4397209151387311
"demand_Node_6=(342.0, 554.4]",class=1,1.3581184451950542e-05,0.4329060522472822
"demand_Node_16=(97.2, 165.6]",class=1,1.3535370861220575e-05,0.4314457244848288
"demand_Node_26=(309.6, 500.4]",class=1,1.3525190063280583e-05,0.43112120720428365
"demand_Node_18=(464.4, 784.8]",class=1,1.3489557270490606e-05,0.42998539672237546
"demand_Node_12=(187.2, 295.2]",class=1,1.3484466871520612e-05,0.4298231380821029
"demand_Node_22=(140.4, 244.8]",class=1,1.3377568493150684e-05,0.4264157066363784
"demand_Node_2=(273.6, 439.2]",class=1,1.3357206897270698e-05,0.425766672075288
"demand_Node_8=(187.2, 320.4]",class=1,1.3326664503450721e-05,0.42479312023365245
"demand_Node_21=(324.0, 536.4]",class=1,1.331139330654073e-05,0.42430634431283465
"demand_Node_30=(118.8, 205.2]",class=1,1.329612210963074e-05,0.4238195683920169
"demand_Node_13=(291.6, 496.8]",class=1,1.3219766125080793e-05,0.421385688787928
"demand_Node_5=(237.6, 396.0]",class=1,1.3158681337440838e-05,0.4194385851046568
"demand_Node_24=(259.2, 439.2]",class=1,1.3123048544650863e-05,0.4183027746227487
"demand_Node_17=(252.0, 439.2]",class=1,1.308232535289089e-05,0.4170047055005679
"demand_Node_20=(432.0, 709.2]",class=1,1.3072144554950898e-05,0.41668018822002273
"demand_Node_31=(32.4, 57.6]",class=1,1.3016150166280937e-05,0.4148953431770242
"demand_Node_10=(162.0, 277.2]",class=1,1.2985607772460958e-05,0.4139217913353886
"demand_Node_11=(165.6, 266.4]",class=1,1.2970336575550968e-05,0.41343501541457084
"demand_Node_3=(273.6, 442.8]",class=1,1.2848167000271054e-05,0.40954080804802856
"demand_Node_23=(320.4, 536.4]",class=1,1.2837986202331061e-05,0.4092162907674834
"demand_Node_9=(165.6, 266.4]",class=1,1.2690364632201163e-05,0.40451079019957814
"demand_Node_32=(262.8, 432.0]",class=1,1.2614008647651217e-05,0.4020769105954892
"demand_Node_14=(219.6, 370.8]",class=1,1.2405302289881361e-05,0.39542430634431286
"demand_Node_29=(118.8, 190.8]",class=1,1.2339127103271408e-05,0.3933149440207691
"demand_Node_19=(18.0, 32.4]",class=1,1.1947166382581682e-05,0.38082102871977935
"demand_Node_15=(97.2, 158.4]",class=1,1.1784273615541795e-05,0.3756287522310563
"demand_Node_28=(86.4, 140.4]",class=1,1.1779183216571797e-05,0.3754664935907837
"demand_Node_27=(111.6, 190.8]",class=1,1.1769002418631807e-05,0.37514197631023855
"demand_Node_1=(-7257.6, -5594.4]",class=0,1.8391611478597195e-05,0.46007895071947025
"demand_Node_1=(-5594.4, -2167.2]",class=0,1.8249080307437293e-05,0.45651343435629693
"demand_Node_4=(32.4, 43.2]",class=0,1.786730038468756e-05,0.446962944097797
"demand_Node_25=(17.999, 39.6]",class=0,1.7816396394987594e-05,0.4456895453966637
"demand_Node_19=(3.599, 14.4]",class=0,1.760769003721774e-05,0.44046861072201704
"demand_Node_28=(64.8, 86.4]",class=0,1.7073198145368112e-05,0.4270979243601172
"demand_Node_4=(10.799000000000001, 32.4]",class=0,1.703247495360814e-05,0.4260792053992105
"demand_Node_29=(86.4, 118.8]",class=0,1.6986661362878172e-05,0.4249331465681905
"demand_Node_25=(39.6, 50.4]",class=0,1.6676147025708388e-05,0.4171654144912772
"demand_Node_9=(129.6, 165.6]",class=0,1.6660875828798398e-05,0.41678339488093724
"demand_Node_15=(75.6, 97.2]",class=0,1.652852545557849e-05,0.41347255825799056
"demand_Node_14=(165.6, 219.6]",class=0,1.6350361491628614e-05,0.40901566280402396
"demand_Node_27=(82.8, 111.6]",class=0,1.632999989574863e-05,0.40850630332357063
"demand_Node_32=(198.0, 262.8]",class=0,1.6309638299868645e-05,0.4079969438431173
"demand_Node_22=(108.0, 140.4]",class=0,1.6060208750338818e-05,0.401757290207564
"demand_Node_26=(241.2, 309.6]",class=0,1.6034756755488836e-05,0.4011205908569973
"demand_Node_16=(32.399, 79.2]",class=0,1.5994033563728863e-05,0.40010187189609064
"demand_Node_13=(223.2, 291.6]",class=0,1.5932948776088906e-05,0.39857379345473065
"demand_Node_23=(241.2, 320.4]",class=0,1.5922767978148913e-05,0.398319113714504
"demand_Node_3=(212.4, 273.6]",class=0,1.5805688801838993e-05,0.39539029670189735
"demand_Node_31=(7.199, 25.2]",class=0,1.578023680698901e-05,0.3947535973513307
"demand_Node_8=(144.0, 187.2]",class=0,1.5775146408019013e-05,0.3946262574812174
"demand_Node_12=(147.6, 187.2]",class=0,1.5764965610079024e-05,0.3943715777409907
"demand_Node_24=(205.2, 259.2]",class=0,1.562752483788912e-05,0.39093340124793075
"demand_Node_30=(35.999, 93.6]",class=0,1.5591892045099145e-05,0.3900420221571374
"demand_Node_7=(356.4, 450.0]",class=0,1.5561349651279164e-05,0.3892779829364574
"demand_Node_6=(273.6, 342.0]",class=0,1.554098805539918e-05,0.38876862345600405
"demand_Node_18=(352.8, 464.4]",class=0,1.5484993666729217e-05,0.38736788488475743
