antecedent,consequent,support,confidence,ant_len,readable
"('demand_Node_1=(-11545.201000000001, -7257.6]',)",class=1,2.339007161005392e-05,0.6523270906730948,1,"demand_Node_1=(-11545.201000000001, -7257.6] → class=1"
"('demand_Node_7=(450.0, 720.0]',)",class=1,1.5830517482529385e-05,0.4414982384572594,1,"demand_Node_7=(450.0, 720.0] → class=1"
"('demand_Node_6=(342.0, 554.4]',)",class=1,1.557121879213936e-05,0.43426664194325976,1,"demand_Node_6=(342.0, 554.4] → class=1"
"('demand_Node_16=(97.2, 165.6]',)",class=1,1.552467800155654e-05,0.4329686630817727,1,"demand_Node_16=(97.2, 165.6] → class=1"
"('demand_Node_26=(309.6, 500.4]',)",class=1,1.550473194844961e-05,0.4324123864268496,1,"demand_Node_26=(309.6, 500.4] → class=1"
"('demand_Node_12=(187.2, 295.2]',)",class=1,1.5451542473497812e-05,0.4309289820137215,1,"demand_Node_12=(187.2, 295.2] → class=1"
"('demand_Node_2=(273.6, 439.2]',)",class=1,1.5431596420390887e-05,0.43037270535879846,1,"demand_Node_2=(273.6, 439.2] → class=1"
"('demand_Node_18=(464.4, 784.8]',)",class=1,1.542494773602191e-05,0.43018727980715743,1,"demand_Node_18=(464.4, 784.8] → class=1"
"('demand_Node_22=(140.4, 244.8]',)",class=1,1.533851483922524e-05,0.42777674763582424,1,"demand_Node_22=(140.4, 244.8] → class=1"
"('demand_Node_21=(324.0, 536.4]',)",class=1,1.5305271417380365e-05,0.42684961987761916,1,"demand_Node_21=(324.0, 536.4] → class=1"
"('demand_Node_30=(118.8, 205.2]',)",class=1,1.5265379311166512e-05,0.42573706656777305,1,"demand_Node_30=(118.8, 205.2] → class=1"
"('demand_Node_8=(187.2, 320.4]',)",class=1,1.525873062679754e-05,0.425551641016132,1,"demand_Node_8=(187.2, 320.4] → class=1"
"('demand_Node_13=(291.6, 496.8]',)",class=1,1.5198892467476765e-05,0.4238828110513629,1,"demand_Node_13=(291.6, 496.8] → class=1"
"('demand_Node_24=(259.2, 439.2]',)",class=1,1.5092513517573164e-05,0.4209160022251066,1,"demand_Node_24=(259.2, 439.2] → class=1"
"('demand_Node_20=(432.0, 709.2]',)",class=1,1.5072567464466241e-05,0.4203597255701836,1,"demand_Node_20=(432.0, 709.2] → class=1"
"('demand_Node_5=(237.6, 396.0]',)",class=1,1.5059270095728289e-05,0.41998887446690153,1,"demand_Node_5=(237.6, 396.0] → class=1"
"('demand_Node_17=(252.0, 439.2]',)",class=1,1.495289114582469e-05,0.41702206564064526,1,"demand_Node_17=(252.0, 439.2] → class=1"
"('demand_Node_31=(32.4, 57.6]',)",class=1,1.4886404302134941e-05,0.4151678101242351,1,"demand_Node_31=(32.4, 57.6] → class=1"
"('demand_Node_11=(165.6, 266.4]',)",class=1,1.4866458249028014e-05,0.41461153346931207,1,"demand_Node_11=(165.6, 266.4] → class=1"
"('demand_Node_10=(162.0, 277.2]',)",class=1,1.4833214827183142e-05,0.413684405711107,1,"demand_Node_10=(162.0, 277.2] → class=1"
"('demand_Node_3=(273.6, 442.8]',)",class=1,1.4753430614755443e-05,0.4114592990914148,1,"demand_Node_3=(273.6, 442.8] → class=1"
"('demand_Node_23=(320.4, 536.4]',)",class=1,1.4713538508541591e-05,0.4103467457815687,1,"demand_Node_23=(320.4, 536.4] → class=1"
"('demand_Node_9=(165.6, 266.4]',)",class=1,1.4553970083686192e-05,0.40589653254218433,1,"demand_Node_9=(165.6, 266.4] → class=1"
"('demand_Node_32=(262.8, 432.0]',)",class=1,1.4414347711937716e-05,0.402002595957723,1,"demand_Node_32=(262.8, 432.0] → class=1"
"('demand_Node_14=(219.6, 370.8]',)",class=1,1.4174995074654618e-05,0.3953272760986464,1,"demand_Node_14=(219.6, 370.8] → class=1"
"('demand_Node_29=(118.8, 190.8]',)",class=1,1.4155049021547695e-05,0.39477099944372335,1,"demand_Node_29=(118.8, 190.8] → class=1"
"('demand_Node_19=(18.0, 32.4]',)",class=1,1.3663046378243549e-05,0.38104950862228815,1,"demand_Node_19=(18.0, 32.4] → class=1"
"('demand_Node_15=(97.2, 158.4]',)",class=1,1.3563316112708923e-05,0.3782681253476729,1,"demand_Node_15=(97.2, 158.4] → class=1"
"('demand_Node_28=(86.4, 140.4]',)",class=1,1.3490180584650198e-05,0.3762284442796217,1,"demand_Node_28=(86.4, 140.4] → class=1"
"('demand_Node_27=(111.6, 190.8]',)",class=1,1.3483531900281223e-05,0.37604301872798074,1,"demand_Node_27=(111.6, 190.8] → class=1"
"('demand_Node_25=(50.4, 82.8]',)",class=1,1.1382547639685135e-05,0.3174485444094196,1,"demand_Node_25=(50.4, 82.8] → class=1"
"('demand_Node_4=(43.2, 68.4]',)",class=1,1.0558110777932239e-05,0.29445577600593364,1,"demand_Node_4=(43.2, 68.4] → class=1"
"('demand_Node_1=(-7257.6, -5594.4]',)",class=0,2.093005839353318e-05,0.45815747343909186,1,"demand_Node_1=(-7257.6, -5594.4] → class=0"
"('demand_Node_1=(-5594.4, -2167.2]',)",class=0,2.091011234042626e-05,0.4577208557706302,1,"demand_Node_1=(-5594.4, -2167.2] → class=0"
"('demand_Node_25=(17.999, 39.6]',)",class=0,2.0438055750229035e-05,0.4473875709503711,1,"demand_Node_25=(17.999, 39.6] → class=0"
"('demand_Node_4=(32.4, 43.2]',)",class=0,2.0318379431587482e-05,0.44476786493960124,1,"demand_Node_4=(32.4, 43.2] → class=0"
"('demand_Node_19=(3.599, 14.4]',)",class=0,2.0238595219159783e-05,0.4430213942657546,1,"demand_Node_19=(3.599, 14.4] → class=0"
"('demand_Node_4=(10.799000000000001, 32.4]',)",class=0,1.9553780729155364e-05,0.42803085431523796,1,"demand_Node_4=(10.799000000000001, 32.4] → class=0"
"('demand_Node_28=(64.8, 86.4]',)",class=0,1.9447401779251764e-05,0.42570222675010916,1,"demand_Node_28=(64.8, 86.4] → class=0"
"('demand_Node_29=(86.4, 118.8]',)",class=0,1.9434104410513815e-05,0.4254111483044681,1,"demand_Node_29=(86.4, 118.8] → class=0"
"('demand_Node_25=(39.6, 50.4]',)",class=0,1.8968696504685567e-05,0.41522340270702957,1,"demand_Node_25=(39.6, 50.4] → class=0"
"('demand_Node_15=(75.6, 97.2]',)",class=0,1.8849020186044017e-05,0.4126036966962596,1,"demand_Node_15=(75.6, 97.2] → class=0"
"('demand_Node_9=(129.6, 165.6]',)",class=0,1.8789182026723243e-05,0.4112938436908747,1,"demand_Node_9=(129.6, 165.6] → class=0"
"('demand_Node_14=(165.6, 219.6]',)",class=0,1.874264123614042e-05,0.4102750691311308,1,"demand_Node_14=(165.6, 219.6] → class=0"
"('demand_Node_32=(198.0, 262.8]',)",class=0,1.868945176118862e-05,0.40911075534856645,1,"demand_Node_32=(198.0, 262.8] → class=0"
"('demand_Node_27=(82.8, 111.6]',)",class=0,1.8543180705071168e-05,0.40590889244651435,1,"demand_Node_27=(82.8, 111.6] → class=0"
"('demand_Node_16=(32.399, 79.2]',)",class=0,1.837031491147782e-05,0.40212487265318003,1,"demand_Node_16=(32.399, 79.2] → class=0"
"('demand_Node_26=(241.2, 309.6]',)",class=0,1.8337071489632947e-05,0.4013971765390773,1,"demand_Node_26=(241.2, 309.6] → class=0"
"('demand_Node_22=(108.0, 140.4]',)",class=0,1.8310476752157046e-05,0.4008150196477951,1,"demand_Node_22=(108.0, 140.4] → class=0"
"('demand_Node_13=(223.2, 291.6]',)",class=0,1.8257287277205247e-05,0.39965070586523066,1,"demand_Node_13=(223.2, 291.6] → class=0"
"('demand_Node_23=(241.2, 320.4]',)",class=0,1.8124313589825746e-05,0.3967399214088197,1,"demand_Node_23=(241.2, 320.4] → class=0"
"('demand_Node_31=(7.199, 25.2]',)",class=0,1.8071124114873947e-05,0.39557560762625527,1,"demand_Node_31=(7.199, 25.2] → class=0"
"('demand_Node_8=(144.0, 187.2]',)",class=0,1.806447543050497e-05,0.3954300684034347,1,"demand_Node_8=(144.0, 187.2] → class=0"
"('demand_Node_3=(212.4, 273.6]',)",class=0,1.8044529377398046e-05,0.39499345073497305,1,"demand_Node_3=(212.4, 273.6] → class=0"
