antecedent,consequent,support,confidence
"flow_Link_31=(-471.601, -417.6]",class=1,2.5182203704572467e-05,0.802693493428525
"flow_Link_32=(-579.601, -532.8]",class=1,2.4805514180792728e-05,0.7906863540483531
"flow_Link_30=(-442.801, -284.4]",class=1,2.420993750130314e-05,0.7717020931364595
"flow_Link_23=(2566.8, 3733.2]",class=1,2.3675445609453518e-05,0.7546649359078371
"flow_Link_34=(712.8, 1040.4]",class=1,2.3527824039323617e-05,0.7499594353399318
"flow_Link_20=(3196.8, 5108.4]",class=1,2.3349660075373743e-05,0.744280382930391
"flow_Link_28=(266.4, 349.2]",class=1,2.3324208080523758e-05,0.743469089729028
"flow_Link_33=(554.4, 633.6]",class=1,2.3288575287733783e-05,0.7423332792471199
"flow_Link_27=(183.6, 223.2]",class=1,2.2983151349533997e-05,0.7325977608307642
"flow_Link_29=(1432.8, 1483.2]",class=1,2.261664262369425e-05,0.7209151387311374
"flow_Link_16=(295.2, 486.0]",class=1,2.2499563447384333e-05,0.7171831900048677
"flow_Link_14=(126.0, 187.2]",class=1,2.2351941877254436e-05,0.7124776894369625
"flow_Link_15=(39.6, 79.2]",class=1,2.2143235519484582e-05,0.7058250851857861
"flow_Link_25=(838.8, 1450.8]",class=1,2.1547658839994997e-05,0.6868408242738926
"flow_Link_13=(302.4, 529.2]",class=1,2.0789189393465524e-05,0.662664286873276
"flow_Link_2=(6988.8, 11120.4]",class=1,2.0611025429515647e-05,0.6569852344637352
"flow_Link_1=(7257.6, 11545.2]",class=1,2.0443042263505765e-05,0.6516306993347396
"flow_Link_24=(1098.0, 1857.6]",class=1,2.0422680667625777e-05,0.6509816647736492
"flow_Link_26=(-140.4, 104.4]",class=1,1.971511521079627e-05,0.6284277137757586
"flow_Link_17=(-889.201, -547.2]",class=1,1.943005286847647e-05,0.6193412299204932
"flow_Link_9=(1119.6, 3358.8]",class=1,1.6920486176268217e-05,0.5393477202661042
"flow_Link_19=(-1677.6009999999999, -1029.6]",class=1,1.6752503010258336e-05,0.5339931851371086
"flow_Link_18=(-1645.201, -1011.6]",class=1,1.6737231813348345e-05,0.5335064092162908
"flow_Link_8=(1285.2, 3538.8]",class=1,1.6660875828798398e-05,0.5310725296122019
"flow_Link_7=(1476.0, 3762.0]",class=1,1.6375813486478596e-05,0.5219860457569365
"flow_Link_6=(1929.6, 4276.8]",class=1,1.5978762366818873e-05,0.5093298718156742
"flow_Link_5=(2271.6, 4701.6]",class=1,1.5836231195658974e-05,0.5047866298880416
"flow_Link_3=(2552.4, 5032.8]",class=1,1.5739513615229042e-05,0.5017037157228622
"flow_Link_4=(2512.8, 4982.4]",class=1,1.5734423216259044e-05,0.5015414570825897
"flow_Link_11=(482.4, 2980.8]",class=1,1.4253117115990075e-05,0.45432419276326463
"flow_Link_10=(651.6, 3160.8]",class=1,1.4136037939680158e-05,0.450592244036995
"flow_Link_21=(464.4, 770.4]",class=1,1.3540461260190571e-05,0.4316079831251014
"flow_Link_22=(140.4, 244.8]",class=1,1.3377568493150684e-05,0.4264157066363784
