antecedent,consequent,support,confidence,ant_len,readable
"('flow_Link_31=(-471.601, -417.6]',)",class=1,2.8649180945913112e-05,0.7989987020211385,1,"flow_Link_31=(-471.601, -417.6] → class=1"
"('flow_Link_32=(-579.601, -532.8]',)",class=1,2.8303449358726417e-05,0.7893565733358057,1,"flow_Link_32=(-579.601, -532.8] → class=1"
"('flow_Link_30=(-442.801, -284.4]',)",class=1,2.7605337499984043e-05,0.769886890413499,1,"flow_Link_30=(-442.801, -284.4] → class=1"
"('flow_Link_23=(2566.8, 3733.2]',)",class=1,2.702690195988322e-05,0.7537548674207306,1,"flow_Link_23=(2566.8, 3733.2] → class=1"
"('flow_Link_34=(712.8, 1040.4]',)",class=1,2.688063090376577e-05,0.7496755052846282,1,"flow_Link_34=(712.8, 1040.4] → class=1"
"('flow_Link_20=(3196.8, 5108.4]',)",class=1,2.664792695085165e-05,0.7431856109771927,1,"flow_Link_20=(3196.8, 5108.4] → class=1"
"('flow_Link_28=(266.4, 349.2]',)",class=1,2.6627980897744724e-05,0.7426293343222696,1,"flow_Link_28=(266.4, 349.2] → class=1"
"('flow_Link_33=(554.4, 633.6]',)",class=1,2.6588088791530874e-05,0.7415167810124235,1,"flow_Link_33=(554.4, 633.6] → class=1"
"('flow_Link_27=(183.6, 223.2]',)",class=1,2.6142626938809554e-05,0.7290932690524754,1,"flow_Link_27=(183.6, 223.2] → class=1"
"('flow_Link_29=(1432.8, 1483.2]',)",class=1,2.5823490089098756e-05,0.7201928425737066,1,"flow_Link_29=(1432.8, 1483.2] → class=1"
"('flow_Link_16=(295.2, 486.0]',)",class=1,2.5643975611136432e-05,0.7151863526793992,1,"flow_Link_16=(295.2, 486.0] → class=1"
"('flow_Link_14=(126.0, 187.2]',)",class=1,2.5557542714339756e-05,0.712775820508066,1,"flow_Link_14=(126.0, 187.2] → class=1"
"('flow_Link_15=(39.6, 79.2]',)",class=1,2.5291595339580757e-05,0.7053587984424253,1,"flow_Link_15=(39.6, 79.2] → class=1"
"('flow_Link_25=(838.8, 1450.8]',)",class=1,2.458683479646941e-05,0.6857036899684776,1,"flow_Link_25=(838.8, 1450.8] → class=1"
"('flow_Link_13=(302.4, 529.2]',)",class=1,2.371585714413369e-05,0.6614129427035046,1,"flow_Link_13=(302.4, 529.2] → class=1"
"('flow_Link_2=(6988.8, 11120.4]',)",class=1,2.3536342666171367e-05,0.6564064528091971,1,"flow_Link_2=(6988.8, 11120.4] → class=1"
"('flow_Link_1=(7257.6, 11545.2]',)",class=1,2.3350179503840067e-05,0.6512145373632486,1,"flow_Link_1=(7257.6, 11545.2] → class=1"
"('flow_Link_24=(1098.0, 1857.6]',)",class=1,2.3330233450733142e-05,0.6506582607083256,1,"flow_Link_24=(1098.0, 1857.6] → class=1"
"('flow_Link_26=(-140.4, 104.4]',)",class=1,2.2465904482766397e-05,0.6265529389949935,1,"flow_Link_26=(-140.4, 104.4] → class=1"
"('flow_Link_17=(-889.201, -547.2]',)",class=1,2.2206605792376377e-05,0.6193213424809939,1,"flow_Link_17=(-889.201, -547.2] → class=1"
"('flow_Link_9=(1119.6, 3358.8]',)",class=1,1.9407509673037914e-05,0.5412571852401261,1,"flow_Link_9=(1119.6, 3358.8] → class=1"
"('flow_Link_19=(-1677.6009999999999, -1029.6]',)",class=1,1.912161624517199e-05,0.5332838865195624,1,"flow_Link_19=(-1677.6009999999999, -1029.6] → class=1"
"('flow_Link_18=(-1645.201, -1011.6]',)",class=1,1.9101670192065065e-05,0.5327276098646393,1,"flow_Link_18=(-1645.201, -1011.6] → class=1"
"('flow_Link_8=(1285.2, 3538.8]',)",class=1,1.9095021507696092e-05,0.5325421843129984,1,"flow_Link_8=(1285.2, 3538.8] → class=1"
"('flow_Link_7=(1476.0, 3762.0]',)",class=1,1.8789182026723243e-05,0.5240126089375116,1,"flow_Link_7=(1476.0, 3762.0] → class=1"
"('flow_Link_6=(1929.6, 4276.8]',)",class=1,1.8363666227108844e-05,0.5121453736324866,1,"flow_Link_6=(1929.6, 4276.8] → class=1"
"('flow_Link_5=(2271.6, 4701.6]',)",class=1,1.8184151749146524e-05,0.5071388837381792,1,"flow_Link_5=(2271.6, 4701.6] → class=1"
"('flow_Link_3=(2552.4, 5032.8]',)",class=1,1.806447543050497e-05,0.5038012238086408,1,"flow_Link_3=(2552.4, 5032.8] → class=1"
"('flow_Link_4=(2512.8, 4982.4]',)",class=1,1.8057826746135995e-05,0.5036157982569999,1,"flow_Link_4=(2512.8, 4982.4] → class=1"
"('flow_Link_11=(482.4, 2980.8]',)",class=1,1.634246617894046e-05,0.45577600593361767,1,"flow_Link_11=(482.4, 2980.8] → class=1"
"('flow_Link_10=(651.6, 3160.8]',)",class=1,1.6216141175929933e-05,0.45225292045243837,1,"flow_Link_10=(651.6, 3160.8] → class=1"
"('flow_Link_21=(464.4, 770.4]',)",class=1,1.5577867476508337e-05,0.4344520674949008,1,"flow_Link_21=(464.4, 770.4] → class=1"
