antecedent,consequent,support,confidence
"pressure_Node_29=(17.599, 29.221]",class=1,2.3705988003273495e-05,0.7556384877494726
"pressure_Node_28=(17.141, 27.39]",class=1,2.36958072053335e-05,0.7553139704689275
"pressure_Node_30=(33.943000000000005, 54.901]",class=1,2.3446377655803675e-05,0.7473632970955704
"pressure_Node_31=(35.482, 56.033]",class=1,2.3130772919663894e-05,0.7373032613986695
"pressure_Node_23=(46.642, 60.355]",class=1,2.289152416807406e-05,0.7296771053058575
"pressure_Node_32=(37.261, 56.961]",class=1,2.2708269805154187e-05,0.7238357942560442
"pressure_Node_24=(41.967000000000006, 58.661]",class=1,2.259119062884427e-05,0.7201038455297745
"pressure_Node_25=(38.848, 57.532]",class=1,2.248938264944434e-05,0.7168586727243226
"pressure_Node_26=(38.711000000000006, 57.443]",class=1,2.2407936265924396e-05,0.714262534479961
"pressure_Node_20=(51.068000000000005, 62.201]",class=1,2.2245043498884512e-05,0.709070257991238
"pressure_Node_27=(38.932, 57.609]",class=1,2.2224681903004524e-05,0.7084212234301477
"pressure_Node_21=(47.245000000000005, 60.696]",class=1,2.1415308466775087e-05,0.6826220996268051
"pressure_Node_22=(45.593, 60.113]",class=1,2.1155698119305268e-05,0.6743469089729028
"pressure_Node_3=(61.522000000000006, 66.412]",class=1,2.0595754232605657e-05,0.6564984585429174
"pressure_Node_2=(69.268, 69.691]",class=1,2.050412705114572e-05,0.6535778030180107
"pressure_Node_16=(45.906, 60.046]",class=1,1.998999675517608e-05,0.6371896803504786
"pressure_Node_19=(59.158, 65.44]",class=1,1.997472555826609e-05,0.6367029044296609
"pressure_Node_15=(45.910000000000004, 60.007]",class=1,1.9857646381956172e-05,0.6329709557033912
"pressure_Node_14=(46.314, 60.145]",class=1,1.961330723139634e-05,0.6251825409703067
"pressure_Node_4=(58.018, 64.879]",class=1,1.9542041645816394e-05,0.6229109200064904
"pressure_Node_18=(56.647000000000006, 64.406]",class=1,1.943005286847647e-05,0.6193412299204932
"pressure_Node_17=(49.477000000000004, 61.502]",class=1,1.940460087362649e-05,0.6185299367191303
"pressure_Node_5=(55.542, 64.185]",class=1,1.9211165712766625e-05,0.6123641083887718
"pressure_Node_6=(53.037, 63.531]",class=1,1.8961736163236795e-05,0.6044134350154146
"pressure_Node_7=(52.463, 63.399]",class=1,1.8905741774566836e-05,0.6026285899724161
"pressure_Node_8=(50.484, 63.044]",class=1,1.878357219928692e-05,0.5987343826058737
"pressure_Node_9=(48.634, 62.76]",class=1,1.8727577810616958e-05,0.5969495375628753
"pressure_Node_10=(48.012, 62.68]",class=1,1.870212581576698e-05,0.5961382443615123
"pressure_Node_11=(45.102000000000004, 62.525]",class=1,1.8585046639457056e-05,0.5924062956352426
"pressure_Node_12=(40.868, 62.381]",class=1,1.851378105387711e-05,0.5901346746714262
"pressure_Node_13=(40.218, 61.89]",class=1,1.8305074696107256e-05,0.5834820704202499
pressure_Node_1=nan,class=0,3.997490311138217e-05,1.0
"pressure_Node_28=(63.172, 69.044]",class=0,2.331402728258377e-05,0.5832166051190628
"pressure_Node_29=(62.788, 68.998]",class=0,2.331402728258377e-05,0.5832166051190628
"pressure_Node_30=(62.192, 68.895]",class=0,2.331402728258377e-05,0.5832166051190628
"pressure_Node_23=(64.397, 69.197]",class=0,2.330893688361377e-05,0.5830892652489494
"pressure_Node_31=(62.209, 68.897]",class=0,2.3303846484643773e-05,0.5829619253788361
"pressure_Node_32=(62.271, 68.902]",class=0,2.3202038505243843e-05,0.5804151279765695
"pressure_Node_24=(63.201, 69.023]",class=0,2.3090049727903924e-05,0.5776136508340761
"pressure_Node_25=(62.493, 68.926]",class=0,2.2972970551594004e-05,0.5746848338214695
"pressure_Node_26=(62.407, 68.914]",class=0,2.2881343370134067e-05,0.5723927161594295
"pressure_Node_20=(65.266, 69.295]",class=0,2.2555557836054296e-05,0.5642429644721763
"pressure_Node_27=(62.494, 68.914]",class=0,2.246393065459436e-05,0.5619508468101363
"pressure_Node_21=(64.276, 69.099]",class=0,2.0473584657325742e-05,0.5121609575958233
"pressure_Node_22=(63.898, 69.016]",class=0,1.9857646381956172e-05,0.49675283331211
"pressure_Node_16=(60.046, 63.857]",class=0,1.8574865841517067e-05,0.4646631860435502
"pressure_Node_15=(60.007, 63.802]",class=0,1.8503600255937114e-05,0.4628804278619636
"pressure_Node_19=(65.44, 67.185]",class=0,1.8488329059027127e-05,0.4624984082516236
"pressure_Node_2=(69.691, 69.809]",class=0,1.846287706417714e-05,0.46186170890105693
"pressure_Node_14=(60.145, 63.882]",class=0,1.845269626623715e-05,0.46160702916083024
"pressure_Node_3=(66.412, 67.798]",class=0,1.8391611478597195e-05,0.46007895071947025
"pressure_Node_3=(67.798, 69.632]",class=0,1.8376340281687205e-05,0.4596969311091303
"pressure_Node_17=(61.502, 64.733]",class=0,1.8320345893017242e-05,0.4582961925378836
"pressure_Node_4=(64.879, 66.788]",class=0,1.8315255494047248e-05,0.4581688526677703
"pressure_Node_18=(64.406, 66.533]",class=0,1.8289803499197265e-05,0.4575321533172036
"pressure_Node_5=(64.185, 66.343]",class=0,1.8249080307437293e-05,0.45651343435629693
"pressure_Node_2=(69.809, 69.967]",class=0,1.8126910732157378e-05,0.453457277473577
"pressure_Node_6=(63.531, 65.92]",class=0,1.812182033318738e-05,0.45332993760346363
"pressure_Node_7=(63.399, 65.836]",class=0,1.812182033318738e-05,0.45332993760346363
"pressure_Node_8=(63.044, 65.614]",class=0,1.8045464348637436e-05,0.4514198395517637
"pressure_Node_10=(62.68, 65.381]",class=0,1.802510275275745e-05,0.45091048007131035
"pressure_Node_9=(62.76, 65.431]",class=0,1.8014921954817456e-05,0.45065580033108366
"pressure_Node_11=(62.525, 65.281]",class=0,1.7964017965117495e-05,0.44938240162995036
"pressure_Node_12=(62.381, 65.19]",class=0,1.793856597026751e-05,0.44874570227938365
"pressure_Node_13=(61.89, 64.885]",class=0,1.786730038468756e-05,0.446962944097797
"pressure_Node_19=(67.185, 69.54]",class=0,1.7633142032067723e-05,0.44110531007258375
"pressure_Node_16=(63.857, 68.98]",class=0,1.7602599638247742e-05,0.4403412708519037
