antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,f1
"{'flow_Link_29_flow_Link_29_bin0', 'flow_Link_15_flow_Link_15_bin2'}",{'leak_label=0.0'},0.5542808219178083,0.5602739726027397,0.5542808219178083,1.0,1.7848410757946211,1.0,0.24373170388440613,inf,0.9865539761813293,0.9893031784841075,1.0,0.9946515892420538,0.7132312438030186
{'flow_Link_29_flow_Link_29_bin0'},{'leak_label=0.0'},0.5755707762557077,0.5602739726027397,0.5602739726027397,0.9734232447441491,1.7374057913526377,1.0,0.23779664727591165,16.54551216520136,0.9999999999999999,0.9734232447441493,0.9395606500412114,0.9867116223720745,0.7112012751775105
{'flow_Link_29_flow_Link_29_bin0'},"{'flow_Link_15_flow_Link_15_bin2', 'leak_label=0.0'}",0.5755707762557077,0.5542808219178083,0.5542808219178083,0.9630107100357003,1.737405791352638,1.0,0.23525297898292363,12.049952256785094,0.9999999999999999,0.9630107100357003,0.9170121193271186,0.9815053550178501,0.7035936820750617
{'flow_Link_28_flow_Link_28_bin1'},"{'flow_Link_29_flow_Link_29_bin0', 'leak_label=0.0'}",0.540068493150685,0.5602739726027397,0.540068493150685,1.0,1.7848410757946211,1.0,0.23748217301557517,inf,0.9560685033507074,0.9639364303178485,1.0,0.9819682151589242,0.7013564598621304
"{'flow_Link_29_flow_Link_29_bin0', 'flow_Link_28_flow_Link_28_bin1'}",{'leak_label=0.0'},0.540068493150685,0.5602739726027397,0.540068493150685,1.0,1.7848410757946211,1.0,0.23748217301557517,inf,0.9560685033507074,0.9639364303178485,1.0,0.9819682151589242,0.7013564598621304
{'flow_Link_28_flow_Link_28_bin1'},{'leak_label=0.0'},0.540068493150685,0.5602739726027397,0.540068493150685,1.0,1.7848410757946211,1.0,0.23748217301557517,inf,0.9560685033507074,0.9639364303178485,1.0,0.9819682151589242,0.7013564598621304
"{'flow_Link_28_flow_Link_28_bin1', 'flow_Link_15_flow_Link_15_bin2'}","{'flow_Link_29_flow_Link_29_bin0', 'leak_label=0.0'}",0.5340753424657534,0.5602739726027397,0.5340753424657534,1.0,1.7848410757946211,1.0,0.23484682867329704,inf,0.9437706725468576,0.953239608801956,1.0,0.976619804400978,0.696283067306619
"{'flow_Link_29_flow_Link_29_bin0', 'flow_Link_28_flow_Link_28_bin1', 'flow_Link_15_flow_Link_15_bin2'}",{'leak_label=0.0'},0.5340753424657534,0.5602739726027397,0.5340753424657534,1.0,1.7848410757946211,1.0,0.23484682867329704,inf,0.9437706725468576,0.953239608801956,1.0,0.976619804400978,0.696283067306619
"{'flow_Link_28_flow_Link_28_bin1', 'flow_Link_15_flow_Link_15_bin2'}",{'leak_label=0.0'},0.5340753424657534,0.5602739726027397,0.5340753424657534,1.0,1.7848410757946211,1.0,0.23484682867329704,inf,0.9437706725468576,0.953239608801956,1.0,0.976619804400978,0.696283067306619
{'flow_Link_28_flow_Link_28_bin1'},"{'flow_Link_29_flow_Link_29_bin0', 'flow_Link_15_flow_Link_15_bin2', 'leak_label=0.0'}",0.540068493150685,0.5542808219178083,0.5340753424657534,0.9889029803424222,1.7841190624651668,1.0,0.23472573419027953,40.165665362034744,0.9555755240680123,0.9532396088019556,0.975103113791681,0.9762247370046988,0.6935734934400711
"{'flow_Link_29_flow_Link_29_bin0', 'flow_Link_28_flow_Link_28_bin1'}","{'flow_Link_15_flow_Link_15_bin2', 'leak_label=0.0'}",0.540068493150685,0.5542808219178083,0.5340753424657534,0.9889029803424222,1.7841190624651668,1.0,0.23472573419027953,40.165665362034744,0.9555755240680123,0.9532396088019556,0.975103113791681,0.9762247370046988,0.6935734934400711
