antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,score
"frozenset({'flow_Link_15_flow_Link_15_bin4', 'flow_Link_33_flow_Link_33_bin4'})","frozenset({'leak_label=1.0', 'flow_Link_29_flow_Link_29_bin4', 'flow_Link_14_flow_Link_14_bin4', 'flow_Link_27_flow_Link_27_bin4'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
"frozenset({'flow_Link_15_flow_Link_15_bin4', 'flow_Link_32_flow_Link_32_bin0', 'flow_Link_33_flow_Link_33_bin4'})","frozenset({'leak_label=1.0', 'flow_Link_29_flow_Link_29_bin4', 'flow_Link_14_flow_Link_14_bin4'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
"frozenset({'flow_Link_15_flow_Link_15_bin4', 'flow_Link_32_flow_Link_32_bin0', 'flow_Link_14_flow_Link_14_bin4'})","frozenset({'leak_label=1.0', 'flow_Link_29_flow_Link_29_bin4', 'flow_Link_33_flow_Link_33_bin4'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
"frozenset({'flow_Link_15_flow_Link_15_bin4', 'flow_Link_29_flow_Link_29_bin4', 'flow_Link_14_flow_Link_14_bin4'})","frozenset({'leak_label=1.0', 'flow_Link_32_flow_Link_32_bin0', 'flow_Link_33_flow_Link_33_bin4'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
"frozenset({'flow_Link_15_flow_Link_15_bin4', 'flow_Link_14_flow_Link_14_bin4', 'flow_Link_33_flow_Link_33_bin4'})","frozenset({'leak_label=1.0', 'flow_Link_32_flow_Link_32_bin0', 'flow_Link_29_flow_Link_29_bin4'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
"frozenset({'flow_Link_29_flow_Link_29_bin4', 'flow_Link_32_flow_Link_32_bin0', 'flow_Link_14_flow_Link_14_bin4'})","frozenset({'leak_label=1.0', 'flow_Link_15_flow_Link_15_bin4', 'flow_Link_33_flow_Link_33_bin4'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
"frozenset({'flow_Link_32_flow_Link_32_bin0', 'flow_Link_14_flow_Link_14_bin4', 'flow_Link_33_flow_Link_33_bin4'})","frozenset({'leak_label=1.0', 'flow_Link_15_flow_Link_15_bin4', 'flow_Link_29_flow_Link_29_bin4'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
"frozenset({'flow_Link_29_flow_Link_29_bin4', 'flow_Link_14_flow_Link_14_bin4', 'flow_Link_33_flow_Link_33_bin4'})","frozenset({'leak_label=1.0', 'flow_Link_15_flow_Link_15_bin4', 'flow_Link_32_flow_Link_32_bin0'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
"frozenset({'flow_Link_15_flow_Link_15_bin4', 'flow_Link_32_flow_Link_32_bin0', 'flow_Link_29_flow_Link_29_bin4'})","frozenset({'leak_label=1.0', 'flow_Link_14_flow_Link_14_bin4', 'flow_Link_33_flow_Link_33_bin4'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
"frozenset({'flow_Link_15_flow_Link_15_bin4', 'flow_Link_29_flow_Link_29_bin4', 'flow_Link_33_flow_Link_33_bin4'})","frozenset({'leak_label=1.0', 'flow_Link_32_flow_Link_32_bin0', 'flow_Link_14_flow_Link_14_bin4'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
