antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,score
frozenset({'flow_Link_32_flow_Link_32_bin0'}),frozenset({'leak_label=1.0'}),0.42442922374429226,0.4397260273972603,0.42442922374429226,1.0,2.2741433021806854,1.0,0.23779664727591168,inf,0.9734232447441491,0.9652128764278297,1.0,0.9826064382139148,1.4244292237442924
frozenset({'flow_Link_29_flow_Link_29_bin4'}),frozenset({'leak_label=1.0'}),0.42442922374429226,0.4397260273972603,0.42442922374429226,1.0,2.2741433021806854,1.0,0.23779664727591168,inf,0.9734232447441491,0.9652128764278297,1.0,0.9826064382139148,1.4244292237442924
"frozenset({'flow_Link_32_flow_Link_32_bin0', 'flow_Link_29_flow_Link_29_bin4'})",frozenset({'leak_label=1.0'}),0.42442922374429226,0.4397260273972603,0.42442922374429226,1.0,2.2741433021806854,1.0,0.23779664727591168,inf,0.9734232447441491,0.9652128764278297,1.0,0.9826064382139148,1.4244292237442924
frozenset({'flow_Link_32_flow_Link_32_bin0'}),"frozenset({'leak_label=1.0', 'flow_Link_29_flow_Link_29_bin4'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
frozenset({'flow_Link_29_flow_Link_29_bin4'}),"frozenset({'flow_Link_32_flow_Link_32_bin0', 'leak_label=1.0'})",0.42442922374429226,0.42442922374429226,0.42442922374429226,1.0,2.35610543302851,1.0,0.24428905777610976,inf,1.0,1.0,1.0,1.0,1.4244292237442924
"frozenset({'flow_Link_32_flow_Link_32_bin0', 'flow_Link_29_flow_Link_29_bin4', 'flow_Link_11_flow_Link_11_bin0'})",frozenset({'leak_label=1.0'}),0.42345890410958903,0.4397260273972603,0.42345890410958903,1.0,2.2741433021806854,1.0,0.23725300243948205,inf,0.9717849717849718,0.9630062305295948,1.0,0.9815031152647975,1.423458904109589
"frozenset({'flow_Link_32_flow_Link_32_bin0', 'flow_Link_11_flow_Link_11_bin0'})",frozenset({'leak_label=1.0'}),0.42345890410958903,0.4397260273972603,0.42345890410958903,1.0,2.2741433021806854,1.0,0.23725300243948205,inf,0.9717849717849718,0.9630062305295948,1.0,0.9815031152647975,1.423458904109589
"frozenset({'flow_Link_29_flow_Link_29_bin4', 'flow_Link_11_flow_Link_11_bin0'})","frozenset({'flow_Link_32_flow_Link_32_bin0', 'leak_label=1.0'})",0.42345890410958903,0.42442922374429226,0.42345890410958903,1.0,2.35610543302851,1.0,0.24373057015074748,inf,0.9983169983169984,0.9977138246369016,1.0,0.9988569123184508,1.423458904109589
"frozenset({'flow_Link_29_flow_Link_29_bin4', 'flow_Link_11_flow_Link_11_bin0'})",frozenset({'leak_label=1.0'}),0.42345890410958903,0.4397260273972603,0.42345890410958903,1.0,2.2741433021806854,1.0,0.23725300243948205,inf,0.9717849717849718,0.9630062305295948,1.0,0.9815031152647975,1.423458904109589
"frozenset({'flow_Link_32_flow_Link_32_bin0', 'flow_Link_11_flow_Link_11_bin0'})","frozenset({'leak_label=1.0', 'flow_Link_29_flow_Link_29_bin4'})",0.42345890410958903,0.42442922374429226,0.42345890410958903,1.0,2.35610543302851,1.0,0.24373057015074748,inf,0.9983169983169984,0.9977138246369016,1.0,0.9988569123184508,1.423458904109589
