antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['pressure_Node_21__(57.705, 61.919]']",class__0,0.073,0.368,-0.395,0.199
"['pressure_Node_20__(63.33, 64.853]']",class__0,0.139,0.698,0.247,0.199
"['pressure_Node_22__(57.083, 61.352]']",class__0,0.077,0.386,-0.36,0.199
"['pressure_Node_22__(65.191, 69.016]']",class__0,0.193,0.963,0.523,0.2
"['pressure_Node_23__(63.762, 65.881]']",class__0,0.195,0.968,0.527,0.201
"['pressure_Node_27__(59.402, 61.843]']",class__0,0.139,0.7,0.249,0.199
"['pressure_Node_32__(61.473, 64.32]']",class__0,0.187,0.929,0.497,0.201
"['pressure_Node_30__(48.179, 57.483]']",class__1,0.175,0.888,0.628,0.197
"['pressure_Node_30__(61.222, 64.274]']",class__0,0.199,0.99,0.544,0.201
"['pressure_Node_31__(61.243, 64.288]']",class__0,0.199,0.99,0.543,0.201
"['pressure_Node_14__(63.218, 65.816]']",class__0,0.136,0.676,0.214,0.201
"['pressure_Node_28__(23.641, 29.198]']",class__1,0.198,1.0,0.699,0.198
"['pressure_Node_28__(29.198, 62.325]']",class__0,0.165,0.828,0.404,0.199
"['pressure_Node_28__(62.325, 64.995]']",class__0,0.199,0.989,0.543,0.201
"['pressure_Node_29__(24.883, 31.34]']",class__1,0.198,1.0,0.699,0.198
"['pressure_Node_29__(31.34, 61.893]']",class__0,0.165,0.829,0.404,0.199
"['pressure_Node_29__(61.893, 64.72]']",class__0,0.199,0.989,0.543,0.202
"['pressure_Node_15__(63.149, 65.682]']",class__0,0.135,0.672,0.208,0.201
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_20__(59.218, 63.33]']",class__0,0.055,0.31,-0.496,0.178
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_20__(63.33, 64.853]']",class__0,0.018,1.0,0.448,0.018
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_20__(63.33, 64.853]']",class__0,0.121,0.794,0.347,0.152
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_8__(61.565, 63.596]']",class__0,0.055,0.436,-0.246,0.125
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_8__(63.596, 65.104]']",class__0,0.0,0.0,-1.0,0.041
"['pressure_Node_21__(57.705, 61.919]', 'pressure_Node_8__(65.104, 67.047]']",class__0,0.0,0.0,-1.0,0.006
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_8__(61.565, 63.596]']",class__0,0.04,1.0,0.458,0.04
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_8__(63.596, 65.104]']",class__0,0.11,1.0,0.494,0.11
"['pressure_Node_21__(61.919, 63.786]', 'pressure_Node_8__(65.104, 67.047]']",class__0,0.0,0.0,-1.0,0.045
