antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__demand_Node_2__(183.6, 234.0]']",class__0.0,0.123,0.625,0.13,0.197
"['demand_Node_2__demand_Node_2__(234.0, 266.4]']",class__0.0,0.137,0.644,0.165,0.213
"['demand_Node_2__demand_Node_2__(266.4, 295.2]']",class__0.0,0.102,0.533,-0.06,0.192
"['demand_Node_2__demand_Node_2__(295.2, 439.2]']",class__0.0,0.07,0.368,-0.393,0.189
"['flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]']",class__0.0,0.177,0.873,0.449,0.203
"['flow_Link_13__flow_Link_13__(187.2, 237.6]']",class__0.0,0.145,0.678,0.221,0.214
"['flow_Link_13__flow_Link_13__(237.6, 277.2]']",class__0.0,0.151,0.819,0.388,0.184
"['flow_Link_13__flow_Link_13__(277.2, 356.4]']",class__0.0,0.085,0.422,-0.292,0.201
"['flow_Link_17__flow_Link_17__(-446.4, -342.0]']",class__0.0,0.127,0.648,0.169,0.196
"['flow_Link_17__flow_Link_17__(-522.0, -446.4]']",class__0.0,0.166,0.811,0.389,0.205
"['flow_Link_17__flow_Link_17__(-612.0, -522.0]']",class__0.0,0.091,0.46,-0.213,0.198
"['demand_Node_7__demand_Node_7__(280.8, 381.6]']",class__0.0,0.131,0.633,0.145,0.207
"['demand_Node_7__demand_Node_7__(381.6, 435.6]']",class__0.0,0.134,0.656,0.183,0.204
"['demand_Node_7__demand_Node_7__(435.6, 486.0]']",class__0.0,0.106,0.549,-0.025,0.193
"['demand_Node_7__demand_Node_7__(486.0, 720.0]']",class__0.0,0.067,0.341,-0.445,0.196
"['pressure_Node_20__pressure_Node_20__(59.218, 63.33]']",class__1.0,0.141,0.712,0.477,0.198
"['pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0.0,0.139,0.698,0.247,0.199
"['pressure_Node_20__pressure_Node_20__(64.853, 66.435]']",class__0.0,0.168,0.833,0.41,0.201
"['flow_Link_9__flow_Link_9__(1076.4, 1227.6]']",class__0.0,0.101,0.507,-0.116,0.199
"['flow_Link_9__flow_Link_9__(1227.6, 3358.8]']",class__1.0,0.163,0.816,0.576,0.199
"['flow_Link_9__flow_Link_9__(655.2, 936.0]']",class__0.0,0.137,0.683,0.224,0.201
"['flow_Link_9__flow_Link_9__(936.0, 1076.4]']",class__0.0,0.149,0.746,0.311,0.199
"['flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1.0,0.195,0.998,0.695,0.195
"['flow_Link_26__flow_Link_26__(-154.8, -100.8]']",class__0.0,0.079,0.41,-0.312,0.193
"['flow_Link_26__flow_Link_26__(-244.8, -154.8]']",class__0.0,0.104,0.501,-0.13,0.208
"['flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0.0,0.189,0.935,0.502,0.202
"['flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0.0,0.188,0.931,0.499,0.202
"['flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0.0,0.198,0.979,0.536,0.203
"['flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0.0,0.167,0.844,0.419,0.198
"['flow_Link_23__flow_Link_23__(2322.0, 3020.4]']",class__1.0,0.2,1.0,0.7,0.2
"['flow_Link_23__flow_Link_23__(478.79900000000004, 1209.6]']",class__0.0,0.195,0.976,0.532,0.2
"['flow_Link_11__flow_Link_11__(280.8, 406.8]']",class__0.0,0.131,0.654,0.179,0.2
"['flow_Link_11__flow_Link_11__(406.8, 464.4]']",class__0.0,0.133,0.679,0.218,0.197
"['flow_Link_11__flow_Link_11__(464.4, 522.0]']",class__0.0,0.113,0.558,-0.005,0.203
"['flow_Link_11__flow_Link_11__(522.0, 2980.8]']",class__0.0,0.058,0.298,-0.522,0.196
"['demand_Node_3__demand_Node_3__(158.4, 230.4]']",class__0.0,0.129,0.627,0.135,0.205
"['demand_Node_3__demand_Node_3__(230.4, 262.8]']",class__0.0,0.127,0.641,0.157,0.199
"['demand_Node_3__demand_Node_3__(262.8, 295.2]']",class__0.0,0.112,0.561,0.002,0.2
"['demand_Node_22__demand_Node_22__(118.8, 136.8]']",class__0.0,0.138,0.657,0.187,0.21
"['demand_Node_22__demand_Node_22__(136.8, 151.2]']",class__0.0,0.092,0.551,-0.02,0.168
"['demand_Node_22__demand_Node_22__(82.8, 118.8]']",class__0.0,0.136,0.64,0.159,0.212
"['flow_Link_2__flow_Link_2__(4626.0, 5634.0]']",class__0.0,0.134,0.662,0.192,0.203
"['flow_Link_2__flow_Link_2__(5634.0, 6537.6]']",class__0.0,0.158,0.803,0.376,0.197
"['flow_Link_2__flow_Link_2__(6537.6, 7923.6]']",class__0.0,0.083,0.417,-0.299,0.199
"['demand_Node_18__demand_Node_18__(255.6, 385.2]']",class__0.0,0.128,0.624,0.129,0.205
"['demand_Node_18__demand_Node_18__(385.2, 446.4]']",class__0.0,0.132,0.661,0.191,0.2
"['demand_Node_18__demand_Node_18__(446.4, 507.6]']",class__0.0,0.109,0.557,-0.008,0.195
"['pressure_Node_3__pressure_Node_3__(65.474, 66.827]']",class__0.0,0.083,0.418,-0.299,0.199
"['pressure_Node_3__pressure_Node_3__(66.827, 67.591]']",class__0.0,0.159,0.803,0.377,0.197
"['pressure_Node_3__pressure_Node_3__(67.591, 68.328]']",class__0.0,0.134,0.662,0.192,0.203
"['flow_Link_29__flow_Link_29__(1414.8, 1450.8]']",class__1.0,0.222,1.0,0.72,0.222
"['flow_Link_29__flow_Link_29__(1450.8, 1483.2]']",class__1.0,0.175,1.0,0.679,0.175
"['flow_Link_29__flow_Link_29__(205.2, 262.8]']",class__0.0,0.203,0.968,0.533,0.209
"['flow_Link_29__flow_Link_29__(262.8, 1414.8]']",class__0.0,0.159,0.836,0.407,0.191
"['flow_Link_29__flow_Link_29__(79.199, 205.2]']",class__0.0,0.198,0.975,0.534,0.203
"['flow_Link_30__flow_Link_30__(-248.4, 126.0]']",class__0.0,0.172,0.862,0.437,0.2
"['flow_Link_30__flow_Link_30__(-324.0, -248.4]']",class__1.0,0.193,1.0,0.694,0.193
"['flow_Link_30__flow_Link_30__(-442.801, -324.0]']",class__1.0,0.208,1.0,0.707,0.208
"['flow_Link_30__flow_Link_30__(126.0, 172.8]']",class__0.0,0.197,0.981,0.536,0.201
"['flow_Link_30__flow_Link_30__(172.8, 262.8]']",class__0.0,0.191,0.962,0.521,0.198
"['flow_Link_32__flow_Link_32__(-39.6, 3.6]']",class__0.0,0.184,0.924,0.491,0.199
"['flow_Link_32__flow_Link_32__(-522.0, -54.0]']",class__0.0,0.185,0.935,0.499,0.198
"['flow_Link_32__flow_Link_32__(-54.0, -39.6]']",class__0.0,0.191,0.996,0.542,0.192
"['flow_Link_32__flow_Link_32__(-547.2, -522.0]']",class__1.0,0.166,1.0,0.672,0.166
"['flow_Link_32__flow_Link_32__(-579.601, -547.2]']",class__1.0,0.245,1.0,0.742,0.245
"['pressure_Node_10__pressure_Node_10__(48.012, 61.122]']",class__1.0,0.18,0.894,0.636,0.201
"['pressure_Node_10__pressure_Node_10__(61.122, 63.248]']",class__0.0,0.095,0.472,-0.19,0.2
"['pressure_Node_10__pressure_Node_10__(63.248, 64.84]']",class__0.0,0.157,0.791,0.364,0.198
"['pressure_Node_10__pressure_Node_10__(64.84, 66.914]']",class__0.0,0.135,0.672,0.208,0.2
"['demand_Node_24__demand_Node_24__(154.8, 219.6]']",class__0.0,0.128,0.63,0.139,0.204
"['demand_Node_24__demand_Node_24__(219.6, 248.4]']",class__0.0,0.129,0.667,0.199,0.193
"['demand_Node_24__demand_Node_24__(248.4, 280.8]']",class__0.0,0.11,0.538,-0.05,0.205
"['demand_Node_24__demand_Node_24__(280.8, 439.2]']",class__0.0,0.067,0.354,-0.418,0.188
"['demand_Node_9__demand_Node_9__(100.8, 140.4]']",class__0.0,0.142,0.641,0.162,0.222
"['demand_Node_9__demand_Node_9__(140.4, 158.4]']",class__0.0,0.126,0.657,0.182,0.192
"['demand_Node_9__demand_Node_9__(158.4, 176.4]']",class__0.0,0.106,0.551,-0.02,0.193
"['demand_Node_9__demand_Node_9__(176.4, 266.4]']",class__0.0,0.06,0.321,-0.478,0.186
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]']",class__0.0,0.049,0.92,0.413,0.053
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_13__flow_Link_13__(187.2, 237.6]']",class__0.0,0.069,0.908,0.415,0.076
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_13__flow_Link_13__(237.6, 277.2]']",class__0.0,0.005,0.155,-0.73,0.034
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_13__flow_Link_13__(277.2, 356.4]']",class__0.0,0.0,0.0,-1.0,0.034
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]']",class__0.0,0.0,0.059,-0.896,0.006
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_13__flow_Link_13__(187.2, 237.6]']",class__0.0,0.07,1.0,0.473,0.07
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_13__flow_Link_13__(237.6, 277.2]']",class__0.0,0.065,0.997,0.469,0.065
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_13__flow_Link_13__(277.2, 356.4]']",class__0.0,0.002,0.038,-0.936,0.06
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]']",class__0.0,0.0,0.0,-1.0,0.002
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_13__flow_Link_13__(187.2, 237.6]']",class__0.0,0.006,1.0,0.442,0.006
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_13__flow_Link_13__(237.6, 277.2]']",class__0.0,0.07,1.0,0.473,0.07
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_13__flow_Link_13__(277.2, 356.4]']",class__0.0,0.027,0.547,-0.024,0.049
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_13__flow_Link_13__(187.2, 237.6]']",class__0.0,0.0,1.0,0.44,0.0
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_13__flow_Link_13__(277.2, 356.4]']",class__0.0,0.056,0.969,0.447,0.057
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_17__flow_Link_17__(-446.4, -342.0]']",class__0.0,0.081,0.745,0.279,0.109
