antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]']",class__0,0.177,0.873,0.449,0.203
"['flow_Link_13__flow_Link_13__(237.6, 277.2]']",class__0,0.151,0.819,0.388,0.184
"['flow_Link_17__flow_Link_17__(-522.0, -446.4]']",class__0,0.166,0.811,0.389,0.205
"['flow_Link_17__flow_Link_17__(-889.201, -612.0]']",class__1,0.186,0.914,0.651,0.204
"['pressure_Node_20__pressure_Node_20__(59.218, 63.33]']",class__1,0.141,0.712,0.477,0.198
"['pressure_Node_20__pressure_Node_20__(64.853, 66.435]']",class__0,0.168,0.833,0.41,0.201
"['flow_Link_9__flow_Link_9__(1227.6, 3358.8]']",class__1,0.163,0.816,0.576,0.199
"['flow_Link_9__flow_Link_9__(936.0, 1076.4]']",class__0,0.149,0.746,0.311,0.199
"['flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1,0.195,0.998,0.695,0.195
"['flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0,0.189,0.935,0.502,0.202
"['flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0,0.188,0.931,0.499,0.202
"['flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0,0.198,0.979,0.536,0.203
"['flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0,0.167,0.844,0.419,0.198
"['flow_Link_23__flow_Link_23__(2322.0, 3020.4]']",class__1,0.2,1.0,0.7,0.2
"['flow_Link_23__flow_Link_23__(3020.4, 3733.2]']",class__1,0.2,1.0,0.7,0.2
"['flow_Link_11__flow_Link_11__(522.0, 2980.8]']",class__1,0.137,0.702,0.464,0.196
"['flow_Link_2__flow_Link_2__(2041.199, 4626.0]']",class__0,0.178,0.894,0.466,0.199
"['flow_Link_2__flow_Link_2__(5634.0, 6537.6]']",class__0,0.158,0.803,0.376,0.197
"['flow_Link_2__flow_Link_2__(7923.6, 11120.4]']",class__1,0.195,0.968,0.683,0.201
"['pressure_Node_3__pressure_Node_3__(61.522000000000006, 65.474]']",class__1,0.195,0.968,0.683,0.202
"['pressure_Node_3__pressure_Node_3__(66.827, 67.591]']",class__0,0.159,0.803,0.377,0.197
"['flow_Link_29__flow_Link_29__(1414.8, 1450.8]']",class__1,0.222,1.0,0.72,0.222
"['flow_Link_29__flow_Link_29__(1450.8, 1483.2]']",class__1,0.175,1.0,0.679,0.175
"['flow_Link_29__flow_Link_29__(205.2, 262.8]']",class__0,0.203,0.968,0.533,0.209
"['flow_Link_29__flow_Link_29__(262.8, 1414.8]']",class__0,0.159,0.836,0.407,0.191
"['flow_Link_30__flow_Link_30__(-248.4, 126.0]']",class__0,0.172,0.862,0.437,0.2
"['flow_Link_30__flow_Link_30__(-324.0, -248.4]']",class__1,0.193,1.0,0.694,0.193
"['flow_Link_30__flow_Link_30__(-442.801, -324.0]']",class__1,0.208,1.0,0.707,0.208
"['flow_Link_30__flow_Link_30__(126.0, 172.8]']",class__0,0.197,0.981,0.536,0.201
"['flow_Link_30__flow_Link_30__(172.8, 262.8]']",class__0,0.191,0.962,0.521,0.198
"['flow_Link_32__flow_Link_32__(-39.6, 3.6]']",class__0,0.184,0.924,0.491,0.199
"['flow_Link_32__flow_Link_32__(-522.0, -54.0]']",class__0,0.185,0.935,0.499,0.198
"['flow_Link_32__flow_Link_32__(-54.0, -39.6]']",class__0,0.191,0.996,0.542,0.192
"['flow_Link_32__flow_Link_32__(-547.2, -522.0]']",class__1,0.166,1.0,0.672,0.166
"['flow_Link_32__flow_Link_32__(-579.601, -547.2]']",class__1,0.245,1.0,0.742,0.245
"['pressure_Node_10__pressure_Node_10__(48.012, 61.122]']",class__1,0.18,0.894,0.636,0.201
"['pressure_Node_10__pressure_Node_10__(63.248, 64.84]']",class__0,0.157,0.791,0.364,0.198
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]']",class__0,0.049,0.92,0.413,0.053
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_13__flow_Link_13__(187.2, 237.6]']",class__0,0.069,0.908,0.415,0.076
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_13__flow_Link_13__(187.2, 237.6]']",class__0,0.07,1.0,0.473,0.07
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_13__flow_Link_13__(237.6, 277.2]']",class__0,0.065,0.997,0.469,0.065
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_13__flow_Link_13__(237.6, 277.2]']",class__0,0.07,1.0,0.473,0.07
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_13__flow_Link_13__(277.2, 356.4]']",class__0,0.056,0.969,0.447,0.057
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_17__flow_Link_17__(-446.4, -342.0]']",class__0,0.081,0.745,0.279,0.109
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_17__flow_Link_17__(-446.4, -342.0]']",class__0,0.044,1.0,0.46,0.044
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_17__flow_Link_17__(-522.0, -446.4]']",class__0,0.088,0.929,0.438,0.095
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_17__flow_Link_17__(-522.0, -446.4]']",class__0,0.061,0.996,0.466,0.061
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_17__flow_Link_17__(-889.201, -612.0]']",class__1,0.06,0.989,0.592,0.061
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_17__flow_Link_17__(-612.0, -522.0]']",class__0,0.047,0.946,0.429,0.05
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_17__flow_Link_17__(-889.201, -612.0]']",class__1,0.117,0.873,0.573,0.134
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'pressure_Node_20__pressure_Node_20__(59.218, 63.33]']",class__1,0.056,1.0,0.594,0.056
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'pressure_Node_20__pressure_Node_20__(64.853, 66.435]']",class__0,0.056,0.986,0.458,0.057
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_20__pressure_Node_20__(59.218, 63.33]']",class__1,0.062,0.996,0.596,0.062
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0,0.036,0.991,0.451,0.037
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'pressure_Node_20__pressure_Node_20__(64.853, 66.435]']",class__0,0.098,1.0,0.488,0.098
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0,0.08,1.0,0.478,0.08
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'pressure_Node_20__pressure_Node_20__(63.33, 64.853]']",class__0,0.022,1.0,0.45,0.022
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_9__flow_Link_9__(655.2, 936.0]']",class__0,0.037,0.932,0.415,0.039
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_9__flow_Link_9__(936.0, 1076.4]']",class__0,0.089,0.753,0.291,0.118
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_9__flow_Link_9__(1227.6, 3358.8]']",class__1,0.037,0.915,0.541,0.04
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_9__flow_Link_9__(936.0, 1076.4]']",class__0,0.043,0.924,0.413,0.046
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_9__flow_Link_9__(1076.4, 1227.6]']",class__0,0.034,0.774,0.289,0.044
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_9__flow_Link_9__(1227.6, 3358.8]']",class__1,0.11,0.768,0.499,0.143
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1,0.068,1.0,0.601,0.068
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_26__flow_Link_26__(-244.8, -154.8]']",class__0,0.055,1.0,0.465,0.055
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0,0.068,1.0,0.472,0.068
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1,0.042,1.0,0.585,0.042
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-154.8, -100.8]']",class__1,0.028,1.0,0.576,0.028
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0,0.099,1.0,0.488,0.099
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0,0.036,0.875,0.375,0.042
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_26__flow_Link_26__(-313.2, -244.8]']",class__0,0.021,1.0,0.449,0.021
"['demand_Node_2__demand_Node_2__(266.4, 295.2]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0,0.082,0.977,0.465,0.084
"['demand_Node_2__demand_Node_2__(295.2, 439.2]', 'flow_Link_26__flow_Link_26__(-572.401, -313.2]']",class__0,0.068,0.987,0.465,0.069
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0,0.058,0.952,0.438,0.061
"['demand_Node_2__demand_Node_2__(183.6, 234.0]', 'flow_Link_23__flow_Link_23__(2322.0, 3020.4]']",class__1,0.07,1.0,0.602,0.07
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_23__flow_Link_23__(1209.6, 1537.2]']",class__0,0.113,0.988,0.489,0.114
"['demand_Node_2__demand_Node_2__(234.0, 266.4]', 'flow_Link_23__flow_Link_23__(1537.2, 2322.0]']",class__0,0.022,0.849,0.349,0.025
