antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_13__flow_Link_13__(356.4, 529.2]']",class__1,0.196,0.986,0.692,0.199
"['flow_Link_9__flow_Link_9__(1231.2, 3358.8]']",class__1,0.162,0.818,0.577,0.198
"['flow_Link_26__flow_Link_26__(-100.8, 104.4]']",class__1,0.194,0.999,0.694,0.194
"['flow_Link_23__flow_Link_23__(2322.0, 3024.0]']",class__1,0.201,1.0,0.701,0.201
"['flow_Link_2__flow_Link_2__(7938.0, 11077.2]']",class__1,0.194,0.969,0.683,0.2
"['pressure_Node_3__pressure_Node_3__(61.583000000000006, 65.461]']",class__1,0.194,0.968,0.682,0.2
"['flow_Link_29__flow_Link_29__(1414.8, 1450.8]']",class__1,0.221,1.0,0.72,0.221
"['flow_Link_29__flow_Link_29__(1450.8, 1483.2]']",class__1,0.174,1.0,0.678,0.174
"['flow_Link_30__flow_Link_30__(-324.0, -244.8]']",class__1,0.197,1.0,0.698,0.197
"['flow_Link_30__flow_Link_30__(-442.801, -324.0]']",class__1,0.206,1.0,0.705,0.206
"['flow_Link_32__flow_Link_32__(-547.2, -522.0]']",class__1,0.166,1.0,0.672,0.166
"['flow_Link_32__flow_Link_32__(-579.601, -547.2]']",class__1,0.244,1.0,0.742,0.244
"['pressure_Node_10__pressure_Node_10__(48.012, 61.093]']",class__1,0.18,0.899,0.639,0.2
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_17__flow_Link_17__(-889.201, -612.0]']",class__1,0.182,0.985,0.679,0.185
"['flow_Link_13__flow_Link_13__(-226.80100000000002, 187.2]', 'flow_Link_9__flow_Link_9__(1231.2, 3358.8]']",class__1,0.017,1.0,0.57,0.017
"['flow_Link_13__flow_Link_13__(277.2, 356.4]', 'flow_Link_9__flow_Link_9__(1231.2, 3358.8]']",class__1,0.0,0.009,-0.98,0.033
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_9__flow_Link_9__(1080.0, 1231.2]']",class__1,0.051,1.0,0.591,0.051
"['flow_Link_13__flow_Link_13__(356.4, 529.2]', 'flow_Link_9__flow_Link_9__(1231.2, 3358.8]']",class__1,0.145,0.981,0.647,0.147
