antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__demand_Node_2__(111.272, 177.12]']",class__1.0,0.07,0.379,-0.164,0.185
"['demand_Node_2__demand_Node_2__(177.12, 242.64]']",class__1.0,0.099,0.373,-0.196,0.265
"['demand_Node_2__demand_Node_2__(242.64, 308.16]']",class__1.0,0.182,0.437,-0.009,0.415
"['demand_Node_2__demand_Node_2__(308.16, 373.68]']",class__1.0,0.081,0.649,0.369,0.125
"['flow_Link_13__flow_Link_13__(226.8, 378.0]']",class__1.0,0.218,0.423,-0.077,0.515
"['flow_Link_13__flow_Link_13__(378.0, 529.2]']",class__1.0,0.142,0.997,0.652,0.143
"['flow_Link_13__flow_Link_13__(75.6, 226.8]']",class__1.0,0.064,0.195,-0.65,0.325
"['flow_Link_17__flow_Link_17__(-448.56, -301.68]']",class__1.0,0.104,0.387,-0.158,0.269
"['flow_Link_17__flow_Link_17__(-595.44, -448.56]']",class__1.0,0.122,0.336,-0.325,0.362
"['flow_Link_17__flow_Link_17__(-742.32, -595.44]']",class__1.0,0.181,0.879,0.63,0.206
"['demand_Node_7__demand_Node_7__(267.84, 380.88]']",class__1.0,0.085,0.381,-0.164,0.222
"['demand_Node_7__demand_Node_7__(380.88, 493.92]']",class__1.0,0.173,0.402,-0.143,0.432
"['demand_Node_7__demand_Node_7__(493.92, 606.96]']",class__1.0,0.104,0.653,0.389,0.159
"['pressure_Node_20__pressure_Node_20__(58.359, 62.005]']",class__1.0,0.157,0.905,0.622,0.173
"['pressure_Node_20__pressure_Node_20__(62.005, 65.65]']",class__1.0,0.126,0.314,-0.402,0.402
"['pressure_Node_20__pressure_Node_20__(65.65, 69.295]']",class__1.0,0.006,0.023,-0.961,0.274
"['flow_Link_9__flow_Link_9__(328.172, 936.72]']",class__1.0,0.129,0.319,-0.388,0.403
"['flow_Link_9__flow_Link_9__(936.72, 1542.24]']",class__1.0,0.284,0.498,0.272,0.57
"['flow_Link_26__flow_Link_26__(-166.32, -30.96]']",class__1.0,0.218,0.687,0.527,0.318
"['flow_Link_26__flow_Link_26__(-301.68, -166.32]']",class__1.0,0.088,0.272,-0.478,0.325
"['flow_Link_26__flow_Link_26__(-437.04, -301.68]']",class__1.0,0.005,0.022,-0.96,0.227
"['flow_Link_23__flow_Link_23__(1129.68, 1780.56]']",class__1.0,0.01,0.029,-0.956,0.354
"['flow_Link_23__flow_Link_23__(1780.56, 2431.44]']",class__1.0,0.063,0.596,0.293,0.106
"['flow_Link_23__flow_Link_23__(2431.44, 3082.32]']",class__1.0,0.2,1.0,0.7,0.2
"['flow_Link_23__flow_Link_23__(3082.32, 3733.2]']",class__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__flow_Link_23__(475.546, 1129.68]']",class__1.0,0.004,0.024,-0.954,0.178
"['flow_Link_11__flow_Link_11__(148.37, 717.12]']",class__1.0,0.423,0.43,-0.57,0.983
"['demand_Node_3__demand_Node_3__(151.92, 224.64]']",class__1.0,0.074,0.39,-0.137,0.19
"['demand_Node_3__demand_Node_3__(224.64, 297.36]']",class__1.0,0.17,0.393,-0.173,0.433
"['demand_Node_3__demand_Node_3__(297.36, 370.08]']",class__1.0,0.108,0.622,0.354,0.174
"['demand_Node_22__demand_Node_22__(123.84, 164.16]']",class__1.0,0.187,0.439,-0.003,0.426
"['demand_Node_22__demand_Node_22__(164.16, 204.48]']",class__1.0,0.076,0.713,0.429,0.106
"['demand_Node_22__demand_Node_22__(42.998, 83.52]']",class__1.0,0.084,0.397,-0.121,0.212
"['demand_Node_22__demand_Node_22__(83.52, 123.84]']",class__1.0,0.088,0.351,-0.253,0.251
"['flow_Link_2__flow_Link_2__(3857.04, 5672.88]']",class__1.0,0.091,0.333,-0.306,0.273
"['flow_Link_2__flow_Link_2__(5672.88, 7488.72]']",class__1.0,0.103,0.313,-0.375,0.327
"['flow_Link_2__flow_Link_2__(7488.72, 9304.56]']",class__1.0,0.21,0.924,0.678,0.228
"['demand_Node_18__demand_Node_18__(249.12, 383.04]']",class__1.0,0.079,0.382,-0.16,0.206
"['demand_Node_18__demand_Node_18__(383.04, 516.96]']",class__1.0,0.169,0.398,-0.155,0.424
"['demand_Node_18__demand_Node_18__(516.96, 650.88]']",class__1.0,0.103,0.637,0.37,0.162
"['pressure_Node_3__pressure_Node_3__(64.767, 66.388]']",class__1.0,0.182,0.809,0.59,0.225
"['pressure_Node_3__pressure_Node_3__(66.388, 68.01]']",class__1.0,0.095,0.243,-0.57,0.391
"['pressure_Node_3__pressure_Node_3__(68.01, 69.632]']",class__1.0,0.058,0.208,-0.608,0.279
"['flow_Link_29__flow_Link_29__(1202.4, 1483.2]']",class__1.0,0.424,1.0,0.972,0.424
"['flow_Link_29__flow_Link_29__(77.796, 360.0]']",class__0.0,0.557,0.972,0.993,0.573
"['flow_Link_30__flow_Link_30__(-19.44, 121.68]']",class__1.0,0.004,0.025,-0.952,0.163
"['flow_Link_30__flow_Link_30__(-301.68, -160.56]']",class__1.0,0.144,1.0,0.655,0.144
"['flow_Link_30__flow_Link_30__(-443.506, -301.68]']",class__1.0,0.28,1.0,0.778,0.28
"['flow_Link_30__flow_Link_30__(121.68, 262.8]']",class__1.0,0.012,0.029,-0.961,0.413
"['flow_Link_32__flow_Link_32__(-113.04, 3.6]']",class__0.0,0.56,0.972,1.0,0.576
"['flow_Link_32__flow_Link_32__(-580.183, -462.96]']",class__1.0,0.424,1.0,0.972,0.424
