IF flow_Link_32:=:(-190.8, 3.6] ∧ flow_Link_11:=:(148.37, 1094.4] THEN class:=:class=0 (conf=0.560, supp=1.000)
IF flow_Link_30:=:(27.6, 262.8] ∧ flow_Link_11:=:(148.37, 1094.4] THEN class:=:class=0 (conf=0.560, supp=1.000)
IF flow_Link_29:=:(77.796, 547.2] ∧ flow_Link_11:=:(148.37, 1094.4] THEN class:=:class=0 (conf=0.560, supp=1.000)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_9_PatternStep_37:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_25:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_24:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_23:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_22:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_21:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_20:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_19:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
IF flow_Link_32:=:(-190.8, 3.6] ∧ demand_Node_18_PatternStep_18:=:(-0.000333, 0.000333] THEN class:=:class=0 (conf=0.560, supp=0.973)
