antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_23__(3082.32, 3733.2]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_29__(1202.4, 1483.2]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_30__(-301.68, -160.56]']",leak_label__1.0,0.144,1.0,0.655,0.144
"['flow_Link_32__(-580.183, -462.96]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['demand_Node_2__(308.16, 373.68]', 'flow_Link_23__(3082.32, 3733.2]']",leak_label__1.0,0.079,1.0,0.608,0.079
"['demand_Node_2__(308.16, 373.68]', 'flow_Link_29__(1202.4, 1483.2]']",leak_label__1.0,0.08,1.0,0.609,0.08
"['demand_Node_2__(308.16, 373.68]', 'flow_Link_30__(-301.68, -160.56]']",leak_label__1.0,0.077,1.0,0.607,0.077
"['demand_Node_2__(308.16, 373.68]', 'flow_Link_32__(-580.183, -462.96]']",leak_label__1.0,0.08,1.0,0.609,0.08
"['flow_Link_13__(226.8, 378.0]', 'flow_Link_30__(-301.68, -160.56]']",leak_label__1.0,0.014,1.0,0.568,0.014
"['flow_Link_17__(-742.32, -595.44]', 'flow_Link_23__(3082.32, 3733.2]']",leak_label__1.0,0.135,1.0,0.647,0.135
"['flow_Link_17__(-742.32, -595.44]', 'flow_Link_29__(1202.4, 1483.2]']",leak_label__1.0,0.177,1.0,0.681,0.177
"['flow_Link_17__(-742.32, -595.44]', 'flow_Link_30__(-301.68, -160.56]']",leak_label__1.0,0.118,1.0,0.635,0.118
"['flow_Link_17__(-742.32, -595.44]', 'flow_Link_32__(-580.183, -462.96]']",leak_label__1.0,0.177,1.0,0.681,0.177
"['demand_Node_7__(493.92, 606.96]', 'flow_Link_23__(3082.32, 3733.2]']",leak_label__1.0,0.099,1.0,0.622,0.099
"['demand_Node_7__(493.92, 606.96]', 'flow_Link_30__(-301.68, -160.56]']",leak_label__1.0,0.095,1.0,0.619,0.095
"['pressure_Node_20__(62.005, 65.65]', 'flow_Link_29__(1202.4, 1483.2]']",leak_label__1.0,0.116,1.0,0.634,0.116
"['pressure_Node_20__(62.005, 65.65]', 'flow_Link_32__(-580.183, -462.96]']",leak_label__1.0,0.116,1.0,0.634,0.116
"['flow_Link_9__(936.72, 1542.24]', 'flow_Link_23__(3082.32, 3733.2]']",leak_label__1.0,0.149,1.0,0.659,0.149
"['flow_Link_9__(936.72, 1542.24]', 'flow_Link_29__(1202.4, 1483.2]']",leak_label__1.0,0.284,1.0,0.783,0.284
"['flow_Link_9__(936.72, 1542.24]', 'flow_Link_30__(-301.68, -160.56]']",leak_label__1.0,0.132,1.0,0.646,0.132
"['flow_Link_9__(328.172, 936.72]', 'flow_Link_32__(-580.183, -462.96]']",leak_label__1.0,0.128,1.0,0.643,0.128
"['flow_Link_9__(936.72, 1542.24]', 'flow_Link_32__(-580.183, -462.96]']",leak_label__1.0,0.284,1.0,0.783,0.284
"['flow_Link_26__(-301.68, -166.32]', 'flow_Link_29__(1202.4, 1483.2]']",leak_label__1.0,0.083,1.0,0.611,0.083
"['flow_Link_26__(-301.68, -166.32]', 'flow_Link_32__(-580.183, -462.96]']",leak_label__1.0,0.083,1.0,0.611,0.083
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_22__(83.52, 123.84]']",leak_label__1.0,0.0,1.0,0.56,0.0
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_18__(516.96, 650.88]']",leak_label__1.0,0.098,1.0,0.621,0.098
"['flow_Link_23__(3082.32, 3733.2]', 'flow_Link_29__(1202.4, 1483.2]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'flow_Link_30__(-301.68, -160.56]']",leak_label__1.0,0.142,1.0,0.653,0.142
"['flow_Link_23__(3082.32, 3733.2]', 'flow_Link_32__(-580.183, -462.96]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_24__(296.64, 367.92]']",leak_label__1.0,0.076,1.0,0.606,0.076
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_2_BaseDemand__(245.002, 245.1]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_2_PatternMean__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_2_PatternStd__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_2_PatternStep_1__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
