antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_16__(214.8, 282.6]']",leak_label__1.0,0.097,0.267,-0.504,0.364
"['flow_Link_16__(282.6, 350.4]']",leak_label__1.0,0.128,0.792,0.531,0.162
"['flow_Link_16__(350.4, 418.2]']",leak_label__1.0,0.183,1.0,0.685,0.183
"['flow_Link_4__(2907.0, 3598.8]']",leak_label__1.0,0.08,0.787,0.491,0.101
"['flow_Link_4__(3598.8, 4290.6]']",leak_label__1.0,0.01,1.0,0.566,0.01
"['flow_Link_5__(2727.0, 3385.2]']",leak_label__1.0,0.055,0.838,0.508,0.066
"['flow_Link_17__(-399.6, -277.2]']",leak_label__1.0,0.081,0.467,0.072,0.173
"['flow_Link_17__(-766.8, -644.4]']",leak_label__1.0,0.115,0.94,0.606,0.122
"['flow_Link_29__(1249.2, 1483.2]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_15__(1.2, 79.2]']",leak_label__1.0,0.424,1.0,0.972,0.424
"['flow_Link_6__(1831.2, 2442.6]']",leak_label__1.0,0.21,0.561,0.345,0.374
"['flow_Link_14__(105.0, 187.2]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_10__(209.452, 703.8]']",leak_label__1.0,0.303,0.376,-0.463,0.804
"['flow_Link_2__(3554.4, 5067.6]']",leak_label__1.0,0.056,0.355,-0.221,0.158
"['flow_Link_2__(5067.6, 6580.8]']",leak_label__1.0,0.073,0.221,-0.597,0.33
"['flow_Link_2__(6580.8, 8094.0]']",leak_label__1.0,0.141,0.64,0.401,0.22
"['flow_Link_2__(8094.0, 9607.2]']",leak_label__1.0,0.149,0.971,0.646,0.153
"['flow_Link_3__(2937.6, 3636.0]']",leak_label__1.0,0.083,0.782,0.49,0.107
"['flow_Link_13__(277.2, 403.2]']",leak_label__1.0,0.245,0.74,0.606,0.331
"['flow_Link_1__(3730.2, 5293.2]']",leak_label__1.0,0.06,0.371,-0.18,0.162
"['flow_Link_1__(5293.2, 6856.2]']",leak_label__1.0,0.071,0.217,-0.604,0.327
"['flow_Link_1__(6856.2, 8419.2]']",leak_label__1.0,0.144,0.644,0.409,0.224
"['flow_Link_12__(218.4, 288.0]']",leak_label__1.0,0.118,0.346,-0.292,0.341
"['flow_Link_12__(288.0, 357.6]']",leak_label__1.0,0.153,0.532,0.243,0.287
"['flow_Link_12__(78.782, 148.8]']",leak_label__1.0,0.068,0.391,-0.131,0.174
"['flow_Link_23__(1021.2, 1563.6]']",leak_label__1.0,0.006,0.023,-0.96,0.265
"['flow_Link_22__(110.4, 144.0]']",leak_label__1.0,0.136,0.352,-0.29,0.388
"['flow_Link_22__(42.998, 76.8]']",leak_label__1.0,0.065,0.375,-0.173,0.173
"['flow_Link_22__(76.8, 110.4]']",leak_label__1.0,0.068,0.42,-0.053,0.163
"['flow_Link_34__(723.6, 882.0]']",leak_label__1.0,0.22,1.0,0.718,0.22
"['flow_Link_34__(89.05, 248.4]']",leak_label__1.0,0.006,0.031,-0.942,0.184
"['flow_Link_20__(2233.2, 2952.0]']",leak_label__1.0,0.073,0.239,-0.546,0.304
"['flow_Link_20__(2952.0, 3670.8]']",leak_label__1.0,0.094,0.82,0.524,0.115
"['flow_Link_21__(143.374, 248.4]']",leak_label__1.0,0.062,0.379,-0.16,0.165
"['flow_Link_21__(248.4, 352.8]']",leak_label__1.0,0.064,0.437,-0.006,0.147
"['flow_Link_21__(352.8, 457.2]']",leak_label__1.0,0.113,0.342,-0.3,0.332
"['flow_Link_31__(-472.169, -376.8]']",leak_label__1.0,0.423,1.0,0.97,0.423
"['flow_Link_25__(630.0, 835.2]']",leak_label__1.0,0.088,0.258,-0.518,0.342
"['flow_Link_25__(835.2, 1040.4]']",leak_label__1.0,0.143,0.816,0.559,0.176
"['flow_Link_19__(-1213.2, -981.0]']",leak_label__1.0,0.162,0.55,0.284,0.295
"['flow_Link_19__(-748.8, -516.6]']",leak_label__1.0,0.085,0.498,0.141,0.17
"['flow_Link_19__(-981.0, -748.8]']",leak_label__1.0,0.073,0.251,-0.514,0.291
"['flow_Link_18__(-1190.4, -963.0]']",leak_label__1.0,0.162,0.551,0.286,0.295
"['flow_Link_18__(-735.6, -508.2]']",leak_label__1.0,0.084,0.5,0.145,0.168
"['flow_Link_18__(-963.0, -735.6]']",leak_label__1.0,0.073,0.251,-0.514,0.292
"['flow_Link_24__(1085.4, 1342.8]']",leak_label__1.0,0.157,0.749,0.522,0.21
"['flow_Link_24__(570.6, 828.0]']",leak_label__1.0,0.072,0.379,-0.164,0.189
"['flow_Link_30__(-443.506, -325.2]']",leak_label__1.0,0.198,1.0,0.699,0.198
"['flow_Link_26__(-121.2, -8.4]']",leak_label__1.0,0.136,0.888,0.596,0.154
"['flow_Link_26__(-234.0, -121.2]']",leak_label__1.0,0.17,0.524,0.238,0.325
"['flow_Link_32__(-580.183, -482.4]']",leak_label__1.0,0.424,1.0,0.973,0.424
"['flow_Link_33__(529.2, 633.6]']",leak_label__1.0,0.414,1.0,0.956,0.414
"['flow_Link_27__(-3.6, 72.0]']",leak_label__1.0,0.0,0.0,-1.0,0.134
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_4__(2907.0, 3598.8]']",leak_label__1.0,0.002,0.623,0.296,0.004
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_4__(1523.4, 2215.2]']",leak_label__1.0,0.045,1.0,0.587,0.045
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_4__(2215.2, 2907.0]']",leak_label__1.0,0.078,0.852,0.532,0.091
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_4__(2907.0, 3598.8]']",leak_label__1.0,0.0,0.003,-0.994,0.02
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_4__(3598.8, 4290.6]']",leak_label__1.0,0.005,1.0,0.563,0.005
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_4__(1523.4, 2215.2]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_4__(2215.2, 2907.0]']",leak_label__1.0,0.114,1.0,0.632,0.114
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_4__(2907.0, 3598.8]']",leak_label__1.0,0.061,0.999,0.596,0.061
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_5__(2727.0, 3385.2]']",leak_label__1.0,0.002,0.968,0.547,0.002
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_5__(1410.6, 2068.8]']",leak_label__1.0,0.057,1.0,0.594,0.057
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_5__(2068.8, 2727.0]']",leak_label__1.0,0.066,0.741,0.447,0.089
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_5__(2727.0, 3385.2]']",leak_label__1.0,0.0,0.0,-1.0,0.011
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_5__(1410.6, 2068.8]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_5__(2068.8, 2727.0]']",leak_label__1.0,0.141,1.0,0.652,0.141
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_5__(2727.0, 3385.2]']",leak_label__1.0,0.035,0.998,0.58,0.035
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_17__(-399.6, -277.2]']",leak_label__1.0,0.069,0.995,0.6,0.07
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_17__(-522.0, -399.6]']",leak_label__1.0,0.028,0.126,-0.761,0.221
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_17__(-644.4, -522.0]']",leak_label__1.0,0.0,0.0,-1.0,0.074
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_17__(-399.6, -277.2]']",leak_label__1.0,0.0,1.0,0.56,0.0
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_17__(-522.0, -399.6]']",leak_label__1.0,0.037,0.997,0.581,0.037
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_17__(-644.4, -522.0]']",leak_label__1.0,0.091,0.776,0.49,0.117
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_17__(-766.8, -644.4]']",leak_label__1.0,0.0,0.031,-0.931,0.007
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_17__(-522.0, -399.6]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_17__(-644.4, -522.0]']",leak_label__1.0,0.072,1.0,0.604,0.072
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_17__(-766.8, -644.4]']",leak_label__1.0,0.108,0.999,0.628,0.108
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_29__(1249.2, 1483.2]']",leak_label__1.0,0.094,1.0,0.619,0.094
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_29__(1249.2, 1483.2]']",leak_label__1.0,0.123,1.0,0.639,0.123
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_29__(77.796, 313.2]']",leak_label__1.0,0.005,0.388,-0.119,0.013
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_29__(1249.2, 1483.2]']",leak_label__1.0,0.175,1.0,0.679,0.175
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_29__(77.796, 313.2]']",leak_label__1.0,0.007,1.0,0.564,0.007
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_15__(1.2, 79.2]']",leak_label__1.0,0.094,1.0,0.619,0.094
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_15__(1.2, 79.2]']",leak_label__1.0,0.123,1.0,0.639,0.123
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_15__(1.2, 79.2]']",leak_label__1.0,0.175,1.0,0.679,0.175
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_7__(1005.0, 1556.4]']",leak_label__1.0,0.013,0.051,-0.911,0.256
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_7__(1005.0, 1556.4]']",leak_label__1.0,0.12,0.994,0.634,0.121
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_7__(1556.4, 2107.8]']",leak_label__1.0,0.003,0.073,-0.84,0.035
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_7__(1005.0, 1556.4]']",leak_label__1.0,0.026,1.0,0.575,0.026
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_7__(1556.4, 2107.8]']",leak_label__1.0,0.149,1.0,0.659,0.149
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_6__(1831.2, 2442.6]']",leak_label__1.0,0.0,0.0,-1.0,0.134
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_6__(1831.2, 2442.6]']",leak_label__1.0,0.046,0.605,0.296,0.076
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_6__(1831.2, 2442.6]']",leak_label__1.0,0.163,1.0,0.669,0.163
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_14__(-59.4, 22.8]']",leak_label__1.0,0.0,0.0,-1.0,0.005
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_14__(105.0, 187.2]']",leak_label__1.0,0.094,1.0,0.619,0.094
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_14__(-59.4, 22.8]']",leak_label__1.0,0.0,0.0,-1.0,0.0
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_14__(105.0, 187.2]']",leak_label__1.0,0.123,1.0,0.639,0.123
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_14__(-59.4, 22.8]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_14__(105.0, 187.2]']",leak_label__1.0,0.175,1.0,0.679,0.175
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_10__(209.452, 703.8]']",leak_label__1.0,0.094,0.282,-0.457,0.335
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_10__(209.452, 703.8]']",leak_label__1.0,0.123,0.988,0.634,0.124
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_10__(703.8, 1195.2]']",leak_label__1.0,0.0,0.009,-0.981,0.032
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_10__(703.8, 1195.2]']",leak_label__1.0,0.101,0.999,0.623,0.102
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_2__(5067.6, 6580.8]']",leak_label__1.0,0.053,0.197,-0.628,0.269
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_2__(6580.8, 8094.0]']",leak_label__1.0,0.0,0.0,-1.0,0.05
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_2__(5067.6, 6580.8]']",leak_label__1.0,0.02,0.994,0.569,0.02
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_2__(6580.8, 8094.0]']",leak_label__1.0,0.106,0.785,0.508,0.135
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_2__(8094.0, 9607.2]']",leak_label__1.0,0.002,0.321,-0.27,0.006
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_2__(3554.4, 5067.6]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_2__(6580.8, 8094.0]']",leak_label__1.0,0.034,1.0,0.58,0.034
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_2__(8094.0, 9607.2]']",leak_label__1.0,0.144,1.0,0.654,0.144
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_3__(2239.2, 2937.6]']",leak_label__1.0,0.0,0.0,-1.0,0.22
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_3__(2937.6, 3636.0]']",leak_label__1.0,0.003,0.579,0.242,0.004
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_3__(1540.8, 2239.2]']",leak_label__1.0,0.044,1.0,0.586,0.044
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_3__(2239.2, 2937.6]']",leak_label__1.0,0.079,0.867,0.542,0.091
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_3__(2937.6, 3636.0]']",leak_label__1.0,0.0,0.003,-0.994,0.021
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_3__(1540.8, 2239.2]']",leak_label__1.0,0.0,0.0,0.0,0.0
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_3__(2239.2, 2937.6]']",leak_label__1.0,0.11,1.0,0.63,0.11
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_3__(2937.6, 3636.0]']",leak_label__1.0,0.065,0.999,0.599,0.065
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_11__(148.37, 622.8]']",leak_label__1.0,0.171,1.0,0.676,0.171
"['flow_Link_16__(214.8, 282.6]', 'flow_Link_13__(277.2, 403.2]']",leak_label__1.0,0.001,0.019,-0.959,0.054
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_13__(151.2, 277.2]']",leak_label__1.0,0.006,0.936,0.534,0.006
"['flow_Link_16__(282.6, 350.4]', 'flow_Link_13__(277.2, 403.2]']",leak_label__1.0,0.117,0.779,0.513,0.15
"['flow_Link_16__(350.4, 418.2]', 'flow_Link_13__(277.2, 403.2]']",leak_label__1.0,0.127,1.0,0.641,0.127
